day_text,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
9.4금,19:00,두산 베어스,서울,8,0,0,12,2,1,0,25,0,2.4,230,52,1002.9,22.5
9.4금,19:00,삼성 라이온즈,서울,16,2,1,3,2,0,1,25,0,2.4,230,52,1002.9,22.5
9.4금,19:00,SK 와이번스,인천,10,2,0,6,0,0,0,23.7,0,2,270,53,1004.5,23
9.4금,19:00,kt wiz,인천,9,2,0,3,1,0,1,23.7,0,2,270,53,1004.5,23
9.4금,19:00,키움 히어로즈,서울,6,0,2,8,0,1,0,25,0,2.4,230,52,1002.9,22.5
9.4금,19:00,한화 이글스,서울,10,0,0,7,0,0,1,25,0,2.4,230,52,1002.9,22.5
9.4금,19:00,KIA 타이거즈,광주,10,1,1,11,1,0,0,25,0,2.1,230,67,1004.8,24.4
9.4금,19:00,롯데 자이언츠,광주,14,2,1,4,3,0,1,25,0,2.1,230,67,1004.8,24.4
9.5토,17:00,KIA 타이거즈,광주,13,0,0,5,1,1,1,22.4,0,1,180,87,1003.8,24.5
9.5토,17:00,한화 이글스,광주,8,1,0,11,1,0,0,22.4,0,1,180,87,1003.8,24.5
9.5토,17:00,kt wiz,수원,11,2,0,8,0,0,1,26.5,0,2.5,140,60,1008.1,25.3
9.5토,17:00,키움 히어로즈,수원,5,0,0,7,0,1,0,26.5,0,2.5,140,60,1008.1,25.3
9.5토,17:00,SK 와이번스,인천,5,1,0,7,1,0,0,26.6,0,3,140,56,1004.3,29.2
9.5토,17:00,두산 베어스,인천,6,0,0,5,0,0,1,26.6,0,3,140,56,1004.3,29.2
9.6일,14:00,KIA 타이거즈,광주,10,1,0,9,0,0,1,22,0,2.2,50,97,997.5,25.2
9.6일,14:00,한화 이글스,광주,10,2,0,13,0,1,0,22,0,2.2,50,97,997.5,25.2
9.6일,14:00,kt wiz,수원,12,0,0,6,1,0,1,24.3,0,1.7,50,68,1004.7,26.5
9.6일,14:00,키움 히어로즈,수원,9,2,0,10,1,1,0,24.3,0,1.7,50,68,1004.7,26.5
9.6일,14:00,LG 트윈스,서울,14,2,0,8,0,1,1,23.8,0,2.6,50,66,999.3,25.8
9.6일,14:00,롯데 자이언츠,서울,3,0,0,4,1,2,0,23.8,0,2.6,50,66,999.3,25.8
9.6일,14:00,NC 다이노스,창원,5,1,0,10,1,0,0,22.4,0,1,50,80,1001.1,23.7
9.6일,14:00,삼성 라이온즈,창원,10,3,0,5,0,0,1,22.4,0,1,50,80,1001.1,23.7
9.6일,14:00,SK 와이번스,인천,3,0,0,7,0,1,0,22.5,0,3,90,67,1001.4,24.8
9.6일,14:00,두산 베어스,인천,14,2,0,3,0,1,1,22.5,0,3,90,67,1001.4,24.8
9.7월,19:00,LG 트윈스,서울,16,1,0,9,2,0,0,20.1,1,3.5,230,99,981.7,20.5
9.7월,19:00,롯데 자이언츠,서울,16,2,0,4,1,1,1,20.1,1,3.5,230,99,981.7,20.5
9.8화,19:00,한화 이글스,대전,10,0,0,9,0,1,1,24.5,0,2,200,79,1003.5,24.5
9.8화,19:00,삼성 라이온즈,대전,7,0,2,6,0,0,0,24.5,0,2,200,79,1003.5,24.5
9.8화,19:00,kt wiz,수원,6,0,0,7,0,0,0,23.3,0,1.5,270,85,1006.7,22.3
9.8화,19:00,두산 베어스,수원,12,1,0,5,0,1,1,23.3,0,1.5,270,85,1006.7,22.3
9.8화,19:00,LG 트윈스,서울,11,0,0,3,2,1,0,24,0,3,200,71,1000.8,21.9
9.8화,19:00,KIA 타이거즈,서울,7,0,0,5,1,0,1,24,0,3,200,71,1000.8,21.9
9.8화,19:00,롯데 자이언츠,부산,6,0,1,6,0,1,0,24.7,0,5.4,250,78,1004.4,23.9
9.8화,19:00,NC 다이노스,부산,17,0,0,6,0,0,1,24.7,0,5.4,250,78,1004.4,23.9
9.8화,19:00,키움 히어로즈,서울,17,5,0,7,1,4,1,24,0,3,200,71,1000.8,21.9
9.8화,19:00,SK 와이번스,서울,16,3,0,8,0,0,0,24,0,3,200,71,1000.8,21.9
9.9수,15:00,한화 이글스,대전,10,2,0,5,1,0,0,25.7,0,2.5,180,68,1000.7,31.7
9.9수,15:00,삼성 라이온즈,대전,7,1,2,11,0,3,0,25.7,0,2.5,180,68,1000.7,31.7
