일시,da,day_text,time_text,team_text,지점명,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
2019-04-06 17:00,2019-04-06,2021-04-06,17:00,NC 다이노스,창원,9,0,0,6,1,0,승
2019-04-06 17:00,2019-04-06,2021-04-06,17:00,두산 베어스,서울,11,0,0,5,0,1,패
2019-04-06 17:00,2019-04-06,2021-04-06,17:00,삼성 라이온즈,대구,3,0,1,8,0,0,패
2019-04-06 17:00,2019-04-06,2021-04-06,17:00,SK 와이번스,인천,8,0,0,10,0,1,승
2019-04-06 17:00,2019-04-06,2021-04-06,17:00,키움 히어로즈,서울,14,0,1,6,0,0,승
2019-04-06 17:00,2019-04-06,2021-04-06,17:00,KIA 타이거즈,광주,8,1,1,8,0,1,패
2019-04-07 14:00,2019-04-07,2021-04-07,14:00,한화 이글스,대전,19,2,0,7,2,0,승
2019-04-07 14:00,2019-04-07,2021-04-07,14:00,롯데 자이언츠,부산,5,1,1,8,0,1,패
2019-04-07 14:00,2019-04-07,2021-04-07,14:00,LG 트윈스,서울,5,2,0,3,1,1,패
2019-04-07 14:00,2019-04-07,2021-04-07,14:00,kt wiz,수원,8,1,2,5,1,0,승
2019-04-07 14:00,2019-04-07,2021-04-07,14:00,NC 다이노스,창원,12,0,0,5,1,0,승
2019-04-07 14:00,2019-04-07,2021-04-07,14:00,두산 베어스,서울,8,1,0,7,1,1,패
2019-04-07 14:00,2019-04-07,2021-04-07,14:00,삼성 라이온즈,대구,9,0,1,6,0,1,패
2019-04-07 14:00,2019-04-07,2021-04-07,14:00,SK 와이번스,인천,7,2,1,6,1,1,승
2019-04-09 19:00,2019-04-09,2021-04-09,19:00,kt wiz,수원,9,1,0,9,0,1,패
2019-04-09 19:00,2019-04-09,2021-04-09,19:00,키움 히어로즈,서울,9,1,1,8,1,1,승
2019-04-10 19:00,2019-04-10,2021-04-10,19:00,kt wiz,수원,8,0,1,7,0,0,패
2019-04-10 19:00,2019-04-10,2021-04-10,19:00,키움 히어로즈,서울,7,1,2,7,2,0,승
2019-04-10 19:00,2019-04-10,2021-04-10,19:00,NC 다이노스,창원,8,0,0,6,2,1,패
2019-04-10 19:00,2019-04-10,2021-04-10,19:00,KIA 타이거즈,광주,9,1,1,6,0,1,승
2019-04-10 19:00,2019-04-10,2021-04-10,19:00,두산 베어스,서울,6,0,1,5,1,1,승
2019-04-10 19:00,2019-04-10,2021-04-10,19:00,롯데 자이언츠,부산,6,1,0,12,0,2,패
2019-04-10 19:00,2019-04-10,2021-04-10,19:00,SK 와이번스,인천,11,1,0,7,1,2,승
2019-04-10 19:00,2019-04-10,2021-04-10,19:00,한화 이글스,대전,9,0,0,8,1,2,패
2019-04-10 19:00,2019-04-10,2021-04-10,19:00,삼성 라이온즈,대구,6,0,1,12,1,1,승
2019-04-10 19:00,2019-04-10,2021-04-10,19:00,LG 트윈스,서울,7,1,1,4,1,1,패
2019-04-11 19:00,2019-04-11,2021-04-11,19:00,kt wiz,수원,13,2,2,9,1,0,승
2019-04-11 19:00,2019-04-11,2021-04-11,19:00,키움 히어로즈,서울,5,1,0,7,0,1,패
2019-04-11 19:00,2019-04-11,2021-04-11,19:00,NC 다이노스,창원,12,0,0,9,1,0,승
2019-04-11 19:00,2019-04-11,2021-04-11,19:00,KIA 타이거즈,광주,9,0,1,9,2,0,패
2019-04-11 19:00,2019-04-11,2021-04-11,19:00,두산 베어스,서울,11,0,2,6,0,0,승
2019-04-11 19:00,2019-04-11,2021-04-11,19:00,롯데 자이언츠,부산,10,1,0,9,2,0,패
2019-04-11 19:00,2019-04-11,2021-04-11,19:00,SK 와이번스,인천,8,0,0,9,1,0,승
2019-04-11 19:00,2019-04-11,2021-04-11,19:00,한화 이글스,대전,5,0,1,8,1,1,패
2019-04-11 19:00,2019-04-11,2021-04-11,19:00,삼성 라이온즈,대구,6,1,0,6,4,0,패
2019-04-11 19:00,2019-04-11,2021-04-11,19:00,LG 트윈스,서울,10,1,2,6,0,0,승
2019-04-12 19:00,2019-04-12,2021-04-12,19:00,한화 이글스,대전,9,1,0,7,4,0,패
2019-04-12 19:00,2019-04-12,2021-04-12,19:00,키움 히어로즈,서울,11,1,1,7,2,0,승
2019-04-12 19:00,2019-04-12,2021-04-12,19:00,KIA 타이거즈,광주,12,0,1,10,1,0,무
2019-04-12 19:00,2019-04-12,2021-04-12,19:00,SK 와이번스,인천,10,0,1,11,0,2,무
2019-04-12 19:00,2019-04-12,2021-04-12,19:00,kt wiz,수원,2,0,0,13,0,2,패
2019-04-12 19:00,2019-04-12,2021-04-12,19:00,삼성 라이온즈,대구,8,0,1,3,2,0,승
2019-04-12 19:00,2019-04-12,2021-04-12,19:00,두산 베어스,서울,7,0,0,9,2,0,패
2019-04-12 19:00,2019-04-12,2021-04-12,19:00,LG 트윈스,서울,10,0,1,5,1,0,승
2019-04-12 19:00,2019-04-12,2021-04-12,19:00,롯데 자이언츠,부산,8,0,0,6,2,0,패
2019-04-12 19:00,2019-04-12,2021-04-12,19:00,NC 다이노스,창원,6,1,0,10,0,0,승
2019-04-13 17:00,2019-04-13,2021-04-13,17:00,한화 이글스,대전,12,0,1,7,2,1,패
2019-04-13 17:00,2019-04-13,2021-04-13,17:00,키움 히어로즈,서울,12,0,2,5,1,0,승
2019-04-13 17:00,2019-04-13,2021-04-13,17:00,KIA 타이거즈,광주,8,2,0,5,1,0,승
2019-04-13 17:00,2019-04-13,2021-04-13,17:00,SK 와이번스,인천,8,2,2,8,0,0,패
2019-04-13 17:00,2019-04-13,2021-04-13,17:00,kt wiz,수원,12,1,1,4,0,2,승
2019-04-13 17:00,2019-04-13,2021-04-13,17:00,삼성 라이온즈,대구,6,1,0,7,1,0,패
2019-04-13 17:00,2019-04-13,2021-04-13,17:00,롯데 자이언츠,부산,10,2,0,10,0,1,패
2019-04-13 17:00,2019-04-13,2021-04-13,17:00,NC 다이노스,창원,12,1,0,6,1,0,승
2019-04-13 17:00,2019-04-13,2021-04-13,17:00,두산 베어스,서울,6,1,1,8,0,1,패
2019-04-13 17:00,2019-04-13,2021-04-13,17:00,LG 트윈스,서울,13,0,1,4,1,1,승
2019-04-14 14:00,2019-04-14,2021-04-14,14:00,한화 이글스,대전,11,1,0,13,1,0,승
2019-04-14 14:00,2019-04-14,2021-04-14,14:00,키움 히어로즈,서울,11,0,1,9,0,0,패
2019-04-14 14:00,2019-04-14,2021-04-14,14:00,KIA 타이거즈,광주,9,2,0,6,0,0,승
2019-04-14 14:00,2019-04-14,2021-04-14,14:00,SK 와이번스,인천,6,0,1,7,2,0,패
2019-04-14 14:00,2019-04-14,2021-04-14,14:00,kt wiz,수원,15,1,0,10,1,1,패
2019-04-14 14:00,2019-04-14,2021-04-14,14:00,삼성 라이온즈,대구,15,3,2,5,1,1,승
2019-04-14 14:00,2019-04-14,2021-04-14,14:00,롯데 자이언츠,부산,9,0,0,6,1,1,패
2019-04-14 14:00,2019-04-14,2021-04-14,14:00,NC 다이노스,창원,10,2,0,5,2,1,승
2019-04-14 14:00,2019-04-14,2021-04-14,14:00,두산 베어스,서울,13,0,3,3,1,0,승
2019-04-14 14:00,2019-04-14,2021-04-14,14:00,LG 트윈스,서울,5,0,0,5,2,2,패
2019-04-16 19:00,2019-04-16,2021-04-16,19:00,한화 이글스,대전,7,0,0,4,2,1,패
2019-04-16 19:00,2019-04-16,2021-04-16,19:00,kt wiz,수원,5,1,1,6,2,1,승
2019-04-16 19:00,2019-04-16,2021-04-16,19:00,KIA 타이거즈,광주,13,0,0,9,1,0,패
2019-04-16 19:00,2019-04-16,2021-04-16,19:00,롯데 자이언츠,부산,15,0,0,7,0,0,승
2019-04-16 19:00,2019-04-16,2021-04-16,19:00,LG 트윈스,서울,9,0,1,8,1,1,승
2019-04-16 19:00,2019-04-16,2021-04-16,19:00,NC 다이노스,창원,6,0,0,7,1,0,패
2019-04-16 19:00,2019-04-16,2021-04-16,19:00,SK 와이번스,인천,8,0,0,6,0,0,패
2019-04-16 19:00,2019-04-16,2021-04-16,19:00,두산 베어스,서울,15,1,2,6,1,1,승
2019-04-16 19:00,2019-04-16,2021-04-16,19:00,키움 히어로즈,서울,10,1,2,7,0,2,승
2019-04-16 19:00,2019-04-16,2021-04-16,19:00,삼성 라이온즈,대구,5,0,0,8,0,1,패
2019-04-17 19:00,2019-04-17,2021-04-17,19:00,한화 이글스,대전,8,0,4,10,1,0,승
2019-04-17 19:00,2019-04-17,2021-04-17,19:00,kt wiz,수원,11,1,0,9,1,1,패
2019-04-17 19:00,2019-04-17,2021-04-17,19:00,KIA 타이거즈,광주,14,2,1,13,0,0,패
2019-04-17 19:00,2019-04-17,2021-04-17,19:00,롯데 자이언츠,부산,16,2,0,7,0,0,승
2019-04-17 19:00,2019-04-17,2021-04-17,19:00,LG 트윈스,서울,13,0,1,14,0,1,승
2019-04-17 19:00,2019-04-17,2021-04-17,19:00,NC 다이노스,창원,10,0,0,11,3,1,패
2019-04-17 19:00,2019-04-17,2021-04-17,19:00,SK 와이번스,인천,7,1,0,7,0,3,패
2019-04-17 19:00,2019-04-17,2021-04-17,19:00,두산 베어스,서울,12,1,0,5,2,0,승
2019-04-17 19:00,2019-04-17,2021-04-17,19:00,키움 히어로즈,서울,11,0,0,3,1,1,승
2019-04-17 19:00,2019-04-17,2021-04-17,19:00,삼성 라이온즈,대구,4,1,0,8,0,1,패
2019-04-18 19:00,2019-04-18,2021-04-18,19:00,한화 이글스,대전,10,1,0,6,0,1,패
2019-04-18 19:00,2019-04-18,2021-04-18,19:00,kt wiz,수원,10,1,1,5,2,0,승
2019-04-18 19:00,2019-04-18,2021-04-18,19:00,KIA 타이거즈,광주,11,2,0,7,0,0,패
2019-04-18 19:00,2019-04-18,2021-04-18,19:00,롯데 자이언츠,부산,13,1,0,6,0,0,승
2019-04-18 19:00,2019-04-18,2021-04-18,19:00,LG 트윈스,서울,9,2,0,11,0,0,승
2019-04-18 19:00,2019-04-18,2021-04-18,19:00,NC 다이노스,창원,8,0,0,10,2,4,패
2019-04-18 19:00,2019-04-18,2021-04-18,19:00,SK 와이번스,인천,8,0,2,8,0,0,승
2019-04-18 19:00,2019-04-18,2021-04-18,19:00,두산 베어스,서울,9,0,0,5,2,1,패
2019-04-18 19:00,2019-04-18,2021-04-18,19:00,키움 히어로즈,서울,8,0,0,6,3,0,패
