day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
4.9금,kt wiz,11,0,0,7,1,1,패
4.9금,삼성 라이온즈,10,0,1,12,0,2,승
4.9금,NC 다이노스,14,1,1,5,1,1,승
4.9금,KIA 타이거즈,13,0,0,10,0,0,패
4.9금,두산 베어스,7,0,1,8,0,2,패
4.9금,한화 이글스,14,2,1,5,2,0,승
4.9금,SSG 랜더스,5,1,0,4,1,1,패
4.9금,LG 트윈스,13,0,0,4,0,1,승
4.9금,키움 히어로즈,10,0,1,12,1,1,승
4.9금,롯데 자이언츠,6,0,0,9,2,0,패
4.10토,kt wiz,8,2,2,5,0,0,패
4.10토,삼성 라이온즈,9,2,1,7,1,1,승
4.10토,SSG 랜더스,11,0,2,6,0,0,승
4.10토,LG 트윈스,9,2,2,9,1,0,패
4.10토,NC 다이노스,12,2,0,8,1,0,승
4.10토,KIA 타이거즈,5,0,0,6,1,0,패
4.10토,두산 베어스,19,2,0,8,0,0,승
4.10토,한화 이글스,5,0,0,9,0,3,패
4.10토,키움 히어로즈,6,0,1,12,0,0,패
4.10토,롯데 자이언츠,17,2,0,7,1,0,승
4.11일,kt wiz,7,1,0,7,0,0,패
4.11일,삼성 라이온즈,9,2,0,8,1,0,승
4.11일,NC 다이노스,12,2,0,4,0,1,승
4.11일,KIA 타이거즈,10,0,1,7,1,0,패
4.11일,두산 베어스,6,0,1,10,1,1,패
4.11일,한화 이글스,10,0,0,9,0,1,승
4.11일,SSG 랜더스,3,0,0,9,0,1,패
4.11일,LG 트윈스,3,0,2,8,0,0,승
4.11일,키움 히어로즈,6,0,2,10,0,1,승
4.11일,롯데 자이언츠,11,0,0,11,1,1,패
4.13화,한화 이글스,8,0,0,12,0,0,패
4.13화,삼성 라이온즈,5,0,0,6,1,0,승
4.13화,kt wiz,14,1,1,4,3,0,승
4.13화,두산 베어스,12,0,0,9,1,0,패
4.13화,LG 트윈스,6,1,1,2,1,0,패
4.13화,키움 히어로즈,13,0,1,4,2,0,승
4.13화,롯데 자이언츠,12,0,0,8,1,1,승
4.13화,KIA 타이거즈,2,0,0,10,0,1,패
4.13화,NC 다이노스,7,2,2,11,0,2,승
4.13화,SSG 랜더스,4,1,1,7,0,2,패
4.14수,한화 이글스,11,0,2,9,1,0,승
4.14수,삼성 라이온즈,4,0,2,5,1,0,패
4.14수,kt wiz,7,0,1,7,1,1,패
4.14수,두산 베어스,6,0,1,11,1,0,승
4.14수,LG 트윈스,14,4,0,8,0,0,승
4.14수,키움 히어로즈,3,0,0,6,2,1,패
4.14수,롯데 자이언츠,10,0,0,5,1,0,패
4.14수,KIA 타이거즈,5,0,3,6,2,1,승
4.14수,NC 다이노스,2,0,0,8,0,0,승
4.14수,SSG 랜더스,5,0,1,8,0,0,패
4.15목,한화 이글스,2,0,0,11,2,1,패
