날짜,요일,구장,관중수
2020/05/28,목,잠실,0
2020/05/28,목,사직,0
2020/05/28,목,창원,0
2020/05/29,금,문학,0
2020/05/29,금,고척,0
2020/05/29,금,광주,0
2020/05/29,금,잠실,0
2020/05/29,금,대구,0
2020/05/30,토,문학,0
2020/05/30,토,고척,0
2020/05/30,토,광주,0
2020/05/30,토,잠실,0
2020/05/30,토,대구,0
2020/05/31,일,문학,0
2020/05/31,일,고척,0
2020/05/31,일,광주,0
2020/05/31,일,잠실,0
2020/05/31,일,대구,0
2020/06/02,화,광주,0
2020/06/02,화,수원,0
2020/06/02,화,창원,0
2020/06/02,화,잠실,0
2020/06/02,화,대전,0
2020/06/03,수,광주,0
2020/06/03,수,수원,0
2020/06/03,수,창원,0
2020/06/03,수,잠실,0
2020/06/03,수,대전,0
2020/06/04,목,광주,0
2020/06/04,목,수원,0
2020/06/04,목,창원,0
2020/06/04,목,잠실,0
2020/06/04,목,대전,0
2020/06/05,금,잠실,0
2020/06/05,금,사직,0
2020/06/05,금,고척,0
2020/06/05,금,대전,0
2020/06/05,금,문학,0
2020/06/06,토,잠실,0
2020/06/06,토,사직,0
2020/06/06,토,고척,0
2020/06/06,토,대전,0
2020/06/06,토,문학,0
2020/06/07,일,잠실,0
2020/06/07,일,사직,0
2020/06/07,일,고척,0
2020/06/07,일,대전,0
2020/06/07,일,문학,0
2020/06/09,화,사직,0
2020/06/09,화,수원,0
2020/06/09,화,창원,0
2020/06/09,화,잠실,0
2020/06/09,화,대구,0
2020/06/10,수,사직,0
2020/06/10,수,수원,0
2020/06/10,수,창원,0
2020/06/10,수,대구,0
2020/06/11,목,사직,0
2020/06/11,목,수원,0
2020/06/11,목,창원,0
2020/06/11,목,잠실,0
2020/06/11,목,잠실,0
2020/06/11,목,대구,0
2020/06/12,금,문학,0
2020/06/12,금,잠실,0
2020/06/12,금,대전,0
2020/06/12,금,창원,0
2020/06/13,토,문학,0
2020/06/13,토,대구,0
2020/06/13,토,대구,0
2020/06/13,토,잠실,0
2020/06/13,토,대전,0
2020/06/13,토,창원,0
2020/06/14,일,문학,0
2020/06/14,일,대구,0
2020/06/14,일,잠실,0
2020/06/14,일,대전,0
2020/06/14,일,창원,0
2020/06/16,화,문학,0
2020/06/16,화,대전,0
2020/06/16,화,고척,0
2020/06/16,화,광주,0
2020/06/16,화,잠실,0
2020/06/17,수,문학,0
2020/06/17,수,대전,0
2020/06/17,수,고척,0
2020/06/17,수,광주,0
2020/06/17,수,잠실,0
2020/06/18,목,문학,0
2020/06/18,목,대전,0
2020/06/18,목,고척,0
2020/06/18,목,잠실,0
2020/06/19,금,창원,0
2020/06/19,금,수원,0
2020/06/19,금,잠실,0
2020/06/19,금,고척,0
2020/06/19,금,광주,0
2020/06/20,토,창원,0
2020/06/20,토,수원,0
2020/06/20,토,잠실,0
2020/06/20,토,고척,0
2020/06/20,토,광주,0
2020/06/21,일,창원,0
2020/06/21,일,수원,0
2020/06/21,일,잠실,0
2020/06/21,일,고척,0
2020/06/21,일,광주,0
2020/06/23,화,대구,0
2020/06/23,화,사직,0
2020/06/23,화,수원,0
2020/06/23,화,문학,0
2020/06/23,화,잠실,0
2020/06/24,수,대구,0
2020/06/25,목,대구,0
2020/06/25,목,수원,0
2020/06/25,목,수원,0
2020/06/25,목,문학,0
2020/06/25,목,문학,0
2020/06/25,목,잠실,0
2020/06/25,목,잠실,0
2020/06/26,금,고척,0
2020/06/26,금,대전,0
2020/06/26,금,문학,0
2020/06/26,금,잠실,0
2020/06/26,금,사직,0
2020/06/27,토,고척,0
2020/06/27,토,대전,0
2020/06/27,토,문학,0
2020/06/27,토,잠실,0
2020/06/27,토,사직,0
2020/06/28,일,고척,0
2020/06/28,일,대전,0
2020/06/28,일,문학,0
2020/06/28,일,잠실,0
2020/06/28,일,사직,0
2020/06/30,화,잠실,0
2020/06/30,화,창원,0
2020/06/30,화,고척,0
2020/06/30,화,대구,0
2020/07/01,수,광주,0
2020/07/01,수,잠실,0
2020/07/01,수,창원,0
2020/07/01,수,고척,0
2020/07/01,수,대구,0
2020/07/02,목,광주,0
2020/07/02,목,잠실,0
2020/07/02,목,창원,0
2020/07/02,목,고척,0
2020/07/02,목,대구,0
2020/07/03,금,잠실,0
2020/07/03,금,창원,0
2020/07/03,금,대구,0
2020/07/03,금,사직,0
2020/07/03,금,수원,0
2020/07/04,토,잠실,0
2020/07/04,토,창원,0
2020/07/04,토,대구,0
2020/07/04,토,사직,0
2020/07/04,토,수원,0
2020/07/05,일,잠실,0
2020/07/05,일,창원,0
2020/07/05,일,대구,0
2020/07/05,일,사직,0
2020/07/05,일,수원,0
2020/07/07,화,광주,0
2020/07/07,화,잠실,0
2020/07/07,화,대전,0
2020/07/07,화,문학,0
2020/07/07,화,고척,0
2020/07/08,수,광주,0
2020/07/08,수,잠실,0
2020/07/08,수,대전,0
2020/07/08,수,문학,0
2020/07/08,수,고척,0
2020/07/09,목,광주,0
2020/07/09,목,잠실,0
2020/07/09,목,대전,0
2020/07/09,목,문학,0
2020/07/09,목,고척,0
2020/07/10,금,잠실,0
2020/07/10,금,사직,0
2020/07/10,금,대전,0
2020/07/10,금,수원,0
2020/07/10,금,광주,0
2020/07/11,토,잠실,0
2020/07/11,토,사직,0
2020/07/11,토,대전,0
2020/07/11,토,수원,0
2020/07/11,토,광주,0
2020/07/13,월,대전,0
2020/07/13,월,광주,0
2020/07/14,화,수원,0
2020/07/14,화,대구,0
2020/07/14,화,사직,0
2020/07/14,화,고척,0
2020/07/14,화,잠실,0
2020/07/15,수,수원,0
2020/07/15,수,대구,0
2020/07/15,수,사직,0
2020/07/15,수,고척,0
2020/07/15,수,잠실,0
2020/07/16,목,수원,0
2020/07/16,목,대구,0
2020/07/16,목,사직,0
2020/07/16,목,고척,0
2020/07/16,목,잠실,0
2020/07/17,금,잠실,0
2020/07/17,금,창원,0
2020/07/17,금,대구,0
2020/07/17,금,광주,0
2020/07/17,금,문학,0
2020/07/18,토,잠실,0
2020/07/18,토,창원,0
2020/07/18,토,대구,0
2020/07/18,토,광주,0
2020/07/18,토,문학,0
2020/07/19,일,잠실,0
2020/07/19,일,창원,0
2020/07/19,일,대구,0
2020/07/19,일,광주,0
2020/07/19,일,문학,0
2020/07/21,화,대전,0
2020/07/21,화,수원,0
2020/07/21,화,문학,0
2020/07/21,화,창원,0
2020/07/21,화,잠실,0
2020/07/22,수,대전,0
2020/07/24,금,잠실,0
2020/07/24,금,고척,0
2020/07/24,금,수원,0
2020/07/24,금,대전,0
2020/07/25,토,잠실,0
2020/07/25,토,고척,0
2020/07/25,토,수원,0
2020/07/25,토,광주,0
2020/07/26,일,잠실,"2,424"
2020/07/26,일,고척,"1,742"
2020/07/26,일,수원,"1,807"
2020/07/26,일,대전,0
2020/07/26,일,광주,0
2020/07/27,월,대전,720
2020/07/28,화,문학,"2,300"
2020/07/28,화,사직,981
2020/07/28,화,잠실,"2,424"
2020/07/29,수,대구,"1,345"
2020/07/29,수,문학,"1,791"
2020/07/30,목,대구,"1,724"
2020/07/30,목,광주,0
2020/07/30,목,문학,"2,212"
2020/07/30,목,잠실,"2,424"
2020/07/31,금,잠실,"2,402"
2020/07/31,금,사직,"2,153"
2020/07/31,금,창원,"2,135"
2020/07/31,금,수원,"1,347"
2020/07/31,금,대구,"1,689"
2020/08/01,토,잠실,"2,315"
2020/08/01,토,사직,"2,450"
2020/08/01,토,창원,"2,211"
2020/08/01,토,수원,"1,153"
2020/08/01,토,대구,"2,145"
2020/08/02,일,사직,"2,299"
2020/08/02,일,창원,"2,211"
2020/08/02,일,대구,"2,103"
2020/08/04,화,고척,"1,611"
2020/08/04,화,광주,"1,562"
2020/08/04,화,문학,"1,482"
2020/08/04,화,잠실,"2,160"
2020/08/05,수,고척,"1,465"
2020/08/05,수,광주,"1,303"
2020/08/05,수,대전,722
2020/08/05,수,잠실,"1,827"
2020/08/06,목,고척,"1,416"
2020/08/06,목,광주,778
2020/08/06,목,문학,"1,538"
2020/08/06,목,대전,634
2020/08/06,목,잠실,"2,096"
2020/08/07,금,고척,"1,674"
2020/08/07,금,잠실,"2,424"
2020/08/07,금,문학,"1,337"
2020/08/08,토,고척,"1,674"
2020/08/08,토,잠실,"2,424"
2020/08/08,토,광주,543
2020/08/08,토,문학,"1,681"
2020/08/09,일,대전,839
2020/08/09,일,고척,"1,674"
2020/08/09,일,광주,"1,383"
2020/08/11,화,고척,"1,929"
2020/08/11,화,잠실,"3,169"
2020/08/11,화,대구,"1,920"
2020/08/11,화,수원,902
2020/08/12,수,고척,"1,923"
2020/08/12,수,잠실,"4,236"
2020/08/12,수,사직,"1,969"
2020/08/12,수,대구,"1,901"
2020/08/12,수,수원,"1,024"
2020/08/13,목,고척,"2,183"
2020/08/13,목,잠실,"3,558"
2020/08/13,목,사직,"2,677"
2020/08/13,목,대구,"2,091"
2020/08/13,목,수원,"1,076"
2020/08/14,금,잠실,"1,625"
2020/08/14,금,창원,"2,683"
2020/08/14,금,광주,"1,266"
2020/08/14,금,대전,"1,186"
2020/08/14,금,사직,"2,912"
2020/08/15,토,잠실,"2,382"
2020/08/15,토,창원,"3,496"
2020/08/15,토,광주,"1,820"
2020/08/15,토,대전,"1,673"
2020/08/15,토,사직,"4,270"
2020/08/16,일,잠실,0
2020/08/16,일,창원,"3,260"
2020/08/16,일,광주,"2,192"
2020/08/16,일,대전,"1,580"
2020/08/16,일,사직,"4,021"
2020/08/18,화,문학,0
2020/08/18,화,잠실,0
2020/08/18,화,대구,"1,313"
2020/08/18,화,사직,0
2020/08/18,화,창원,"2,352"
2020/08/19,수,문학,0
2020/08/19,수,잠실,0
2020/08/19,수,대구,0
2020/08/19,수,사직,0
2020/08/19,수,창원,0
2020/08/20,목,대전,0
2020/08/20,목,고척,0
2020/08/20,목,잠실,0
2020/08/20,목,광주,0
2020/08/20,목,문학,0
2020/08/21,금,대전,0
2020/08/21,금,고척,0
2020/08/21,금,잠실,0
2020/08/21,금,광주,0
2020/08/21,금,문학,0
2020/08/22,토,고척,0
2020/08/22,토,대구,0
2020/08/22,토,문학,0
2020/08/23,일,잠실,0
2020/08/23,일,고척,0
2020/08/23,일,대구,0
2020/08/23,일,수원,0
2020/08/23,일,문학,0
2020/08/24,월,잠실,0
2020/08/24,월,수원,0
2020/08/25,화,창원,0
2020/08/25,화,잠실,0
2020/08/25,화,대구,0
2020/08/25,화,사직,0
2020/08/25,화,수원,0
2020/08/26,수,창원,0
2020/08/26,수,잠실,0
2020/08/26,수,대구,0
2020/08/26,수,사직,0
2020/08/26,수,수원,0
2020/08/27,목,문학,0
2020/08/27,목,잠실,0
2020/08/27,목,창원,0
2020/08/27,목,대전,0
2020/08/27,목,사직,0
2020/08/28,금,문학,0
2020/08/28,금,잠실,0
2020/08/28,금,창원,0
2020/08/28,금,사직,0
2020/08/29,토,사직,0
2020/08/29,토,잠실,0
2020/08/29,토,창원,0
2020/08/29,토,고척,0
2020/08/30,일,사직,0
2020/08/30,일,광주,0
2020/08/30,일,광주,0
2020/08/30,일,잠실,0
2020/08/30,일,창원,0
2020/08/30,일,고척,0
2020/09/01,화,잠실,0
2020/09/01,화,문학,0
2020/09/01,화,수원,0
2020/09/01,화,고척,0
2020/09/01,화,광주,0
2020/09/02,수,고척,0
2020/09/03,목,사직,0
2020/09/03,목,잠실,0
2020/09/03,목,대구,0
2020/09/03,목,수원,0
2020/09/03,목,대전,0
2020/09/04,금,사직,0
2020/09/04,금,사직,0
2020/09/04,금,잠실,0
2020/09/04,금,대구,0
2020/09/04,금,수원,0
2020/09/04,금,수원,0
2020/09/04,금,대전,0
2020/09/05,토,대전,0
2020/09/05,토,고척,0
2020/09/05,토,잠실,0
2020/09/06,일,대전,0
2020/09/06,일,고척,0
2020/09/06,일,사직,0
2020/09/06,일,대구,0
2020/09/06,일,잠실,0
2020/09/07,월,사직,0
2020/09/08,화,대구,0
2020/09/08,화,잠실,0
2020/09/08,화,광주,0
2020/09/08,화,창원,0
2020/09/08,화,문학,0
2020/09/09,수,대구,0
2020/09/09,수,대구,0
2020/09/09,수,잠실,0
2020/09/09,수,창원,0
2020/09/09,수,문학,0
2020/09/10,목,창원,0
2020/09/10,목,광주,0
2020/09/10,목,대전,0
2020/09/10,목,사직,0
2020/09/10,목,잠실,0
2020/09/11,금,창원,0
2020/09/11,금,대전,0
2020/09/11,금,사직,0
2020/09/11,금,잠실,0
2020/09/12,토,수원,0
2020/09/12,토,창원,0
2020/09/12,토,문학,0
2020/09/12,토,고척,0
2020/09/12,토,잠실,0
2020/09/13,일,수원,0
2020/09/13,일,창원,0
2020/09/13,일,문학,0
2020/09/13,일,고척,0
2020/09/13,일,잠실,0
2020/09/15,화,대전,0
2020/09/15,화,고척,0
2020/09/15,화,잠실,0
2020/09/15,화,광주,0
2020/09/15,화,수원,0
2020/09/16,수,대전,0
2020/09/16,수,고척,0
2020/09/16,수,잠실,0
2020/09/16,수,광주,0
2020/09/16,수,수원,0
2020/09/17,목,고척,0
2020/09/17,목,대구,0
2020/09/17,목,잠실,0
2020/09/17,목,문학,0
2020/09/17,목,수원,0
2020/09/18,금,고척,0
2020/09/18,금,대구,0
2020/09/18,금,잠실,0
2020/09/18,금,문학,0
2020/09/18,금,수원,0
2020/09/19,토,광주,0
2020/09/19,토,문학,0
2020/09/19,토,잠실,0
2020/09/19,토,사직,0
2020/09/19,토,대구,0
2020/09/20,일,광주,0
2020/09/20,일,문학,0
2020/09/20,일,잠실,0
2020/09/20,일,사직,0
2020/09/20,일,사직,0
2020/09/20,일,대구,0
2020/09/22,화,사직,0
2020/09/22,화,대전,0
2020/09/22,화,잠실,0
2020/09/22,화,창원,0
2020/09/22,화,광주,0
2020/09/23,수,사직,0
2020/09/23,수,대전,0
2020/09/23,수,잠실,0
2020/09/23,수,창원,0
2020/09/23,수,광주,0
2020/09/24,목,수원,0
2020/09/24,목,창원,0
2020/09/24,목,대전,0
2020/09/24,목,고척,0
2020/09/24,목,잠실,0
2020/09/25,금,수원,0
2020/09/25,금,창원,0
2020/09/25,금,대전,0
2020/09/25,금,고척,0
2020/09/25,금,잠실,0
2020/09/26,토,수원,0
2020/09/26,토,광주,0
2020/09/26,토,대전,0
2020/09/26,토,대구,0
2020/09/26,토,잠실,0
2020/09/27,일,수원,0
2020/09/27,일,광주,0
2020/09/27,일,대전,0
2020/09/27,일,대구,0
2020/09/27,일,잠실,0
2020/09/27,일,잠실,0
2020/09/29,화,고척,0
2020/09/29,화,대구,0
2020/09/29,화,잠실,0
2020/09/29,화,대전,0
2020/09/29,화,창원,0
2020/09/30,수,고척,0
2020/09/30,수,대구,0
2020/09/30,수,잠실,0
2020/09/30,수,대전,0
2020/09/30,수,창원,0
2020/10/01,목,고척,0
2020/10/01,목,대구,0
2020/10/01,목,잠실,0
2020/10/01,목,대전,0
2020/10/01,목,창원,0
2020/10/02,금,사직,0
2020/10/02,금,잠실,0
2020/10/02,금,수원,0
2020/10/02,금,창원,0
2020/10/02,금,문학,0
2020/10/03,토,사직,0
2020/10/03,토,잠실,0
2020/10/03,토,수원,0
2020/10/03,토,수원,0
2020/10/03,토,창원,0
2020/10/03,토,창원,0
2020/10/03,토,문학,0
2020/10/04,일,사직,0
2020/10/04,일,잠실,0
2020/10/04,일,수원,0
2020/10/04,일,창원,0
2020/10/04,일,문학,0
2020/10/06,화,광주,0
2020/10/06,화,사직,0
2020/10/06,화,고척,0
2020/10/06,화,문학,0
2020/10/06,화,잠실,0
2020/10/07,수,광주,0
2020/10/07,수,광주,0
2020/10/07,수,사직,0
2020/10/07,수,고척,0
2020/10/07,수,문학,0
2020/10/07,수,잠실,0
2020/10/08,목,광주,0
2020/10/08,목,사직,0
2020/10/08,목,고척,0
2020/10/08,목,문학,0
2020/10/08,목,잠실,0
2020/10/09,금,대구,0
2020/10/09,금,잠실,0
2020/10/09,금,수원,0
2020/10/09,금,광주,0
2020/10/09,금,대전,0
2020/10/10,토,대구,0
2020/10/10,토,잠실,0
2020/10/10,토,잠실,0
2020/10/10,토,수원,0
2020/10/10,토,광주,0
2020/10/10,토,대전,0
2020/10/11,일,대구,0
2020/10/11,일,잠실,0
2020/10/11,일,수원,0
2020/10/11,일,광주,0
2020/10/11,일,대전,0
2020/10/13,화,잠실,"2,806"
2020/10/13,화,창원,"1,609"
2020/10/13,화,사직,"1,316"
2020/10/13,화,대구,"1,269"
2020/10/13,화,수원,"1,473"
2020/10/14,수,잠실,"2,698"
2020/10/14,수,창원,"1,685"
2020/10/14,수,사직,"1,266"
2020/10/14,수,대구,"1,606"
2020/10/14,수,수원,"1,455"
2020/10/15,목,잠실,"2,375"
2020/10/15,목,창원,"1,776"
2020/10/15,목,사직,"1,653"
2020/10/15,목,대구,"2,166"
2020/10/15,목,수원,"1,337"
2020/10/16,금,잠실,"5,490"
2020/10/16,금,문학,"1,310"
2020/10/16,금,창원,"2,693"
2020/10/16,금,고척,"2,163"
2020/10/16,금,대전,865
2020/10/17,토,잠실,"6,686"
2020/10/17,토,문학,"2,145"
2020/10/17,토,창원,"4,403"
2020/10/17,토,고척,"3,741"
2020/10/17,토,대전,"1,673"
2020/10/17,토,대전,"1,469"
2020/10/18,일,잠실,"6,686"
2020/10/18,일,문학,"2,273"
2020/10/18,일,창원,"4,422"
2020/10/18,일,고척,"3,963"
2020/10/18,일,대전,"1,623"
2020/10/20,화,수원,"3,978"
2020/10/20,화,광주,734
2020/10/20,화,사직,"1,657"
2020/10/20,화,문학,"1,491"
2020/10/21,수,문학,"1,424"
2020/10/21,수,수원,"1,788"
2020/10/22,목,대전,939
2020/10/22,목,잠실,"3,074"
2020/10/22,목,문학,"1,544"
2020/10/23,금,광주,"1,082"
2020/10/23,금,문학,"2,057"
2020/10/23,금,대전,"1,353"
2020/10/23,금,잠실,"4,533"
2020/10/24,토,창원,"5,528"
2020/10/24,토,잠실,"6,813"
2020/10/24,토,광주,"2,300"
2020/10/25,일,수원,"5,159"
2020/10/25,일,광주,"1,580"
2020/10/27,화,잠실,"3,322"
2020/10/27,화,광주,511
2020/10/27,화,사직,"1,151"
2020/10/27,화,창원,"5,528"
2020/10/28,수,잠실,"6,775"
2020/10/28,수,광주,650
2020/10/28,수,사직,"1,204"
2020/10/29,목,대전,"1,803"
2020/10/29,목,사직,"1,515"
2020/10/29,목,광주,"1,438"
2020/10/30,금,사직,"3,223"
2020/10/30,금,대전,"2,883"
2020/10/30,금,문학,"6,023"
2020/10/30,금,대구,"6,547"
2020/10/30,금,잠실,"7,216"
2020/10/31,토,광주,"2,056"
