지점,지점명,일시,기온(°C),강수량(mm),습도(%)
108,서울,2019-07-10 18:00,22.1,0.2,68
108,서울,2019-07-11 18:00,22.9,,71
108,서울,2019-07-12 18:00,25.9,,61
108,서울,2019-07-13 18:00,27.4,,58
108,서울,2019-07-14 18:00,30.3,,45
108,서울,2019-07-15 18:00,23,0.7,93
108,서울,2019-07-16 18:00,28.4,,61
108,서울,2019-07-17 18:00,28.3,,61
108,서울,2019-07-18 18:00,30.4,,53
108,서울,2019-07-19 18:00,30.4,,62
108,서울,2019-07-20 18:00,30.3,,57
108,서울,2019-07-21 18:00,26.3,,76
108,서울,2019-07-22 18:00,30.5,,58
108,서울,2019-07-23 18:00,30.6,,61
108,서울,2019-07-24 18:00,27.1,,79
108,서울,2019-07-25 18:00,26.2,0.7,92
108,서울,2019-07-26 18:00,25.7,0,93
108,서울,2019-07-27 18:00,30.6,,69
108,서울,2019-07-28 18:00,25.6,1.8,92
108,서울,2019-07-29 18:00,29.4,,67
108,서울,2019-07-30 18:00,28.4,,78
108,서울,2019-07-31 18:00,26,,94
108,서울,2019-08-01 18:00,28.9,,77
108,서울,2019-08-02 18:00,32.4,,62
108,서울,2019-08-03 18:00,29.9,,68
108,서울,2019-08-04 18:00,26.8,7.7,86
108,서울,2019-08-05 18:00,34.2,,51
108,서울,2019-08-06 18:00,34.8,,43
108,서울,2019-08-07 18:00,30.2,,64
108,서울,2019-08-08 18:00,30.1,,65
108,서울,2019-08-09 18:00,33,,58
108,서울,2019-08-10 18:00,35.4,,44
108,서울,2019-08-11 18:00,33.4,0,40
108,서울,2019-08-12 18:00,28.3,0,87
108,서울,2019-08-13 18:00,33.3,,61
108,서울,2019-08-14 18:00,32.9,,54
108,서울,2019-08-15 18:00,25.2,0.5,89
