day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,,
10.17금,롯데 자이언츠,13,2,0,10,1,0,승,1,부산
10.17금,NC 다이노스,9,0,3,7,4,0,패,0,서울
10.17금,두산 베어스,8,0,1,9,0,1,승,1,서울
10.17금,SK 와이번스,9,1,1,9,0,1,패,0,서울
10.17금,키움 히어로즈,10,3,0,10,0,2,승,1,서울
10.19일,LG 트윈스,16,2,1,2,1,1,승,0,창원
10.19일,NC 다이노스,10,2,0,8,1,3,패,1,창원
10.22수,LG 트윈스,11,2,0,9,1,0,승,0,창원
10.22수,NC 다이노스,9,1,0,11,1,2,패,1,창원
10.24금,NC 다이노스,9,1,0,5,0,1,승,0,서울
10.24금,LG 트윈스,11,0,1,3,0,1,패,1,서울
10.25토,NC 다이노스,9,0,1,4,0,1,패,0,서울
10.25토,LG 트윈스,17,0,0,6,1,0,승,1,서울
10.27월,LG 트윈스,8,1,0,5,3,0,패,0,서울
10.27월,키움 히어로즈,9,1,1,9,1,0,승,1,서울
10.28화,LG 트윈스,8,0,0,12,0,0,승,0,서울
10.28화,키움 히어로즈,5,1,0,14,0,2,패,1,서울
10.30목,키움 히어로즈,10,2,0,10,1,1,승,0,서울
10.30목,LG 트윈스,5,0,0,9,0,0,패,1,서울
10.31금,키움 히어로즈,15,2,3,8,1,0,승,0,서울
10.31금,LG 트윈스,8,0,0,8,0,2,패,1,서울
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
team_text,번호,,,,,,,,,
NC 다이노스,1,,,,,,,,,
두산 베어스,2,,,,,,,,,
KT 위즈,3,,,,,,,,,
LG 트윈스,4,,,,,,,,,
키움 히어로즈,5,,,,,,,,,
KIA 타이거즈,6,,,,,,,,,
롯데 자이언츠,7,,,,,,,,,
삼성 라이온즈,8,,,,,,,,,
SK 와이번스,9,,,,,,,,,
한화 이글스,10,,,,,,,,,
