day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,,,
8.20수,SK 와이번스,9,1,1,8,0,1,승,1,인천,
8.21목,두산 베어스,9,0,1,6,0,1,패,0,대구,
8.21목,삼성 라이온즈,8,1,3,3,0,0,승,1,대구,
8.21목,키움 히어로즈,10,1,0,10,0,0,패,0,창원,
8.21목,NC 다이노스,8,1,1,3,1,0,승,1,창원,
8.22금,KIA 타이거즈,8,1,1,6,2,1,패,0,서울,
8.22금,LG 트윈스,9,0,0,8,1,1,승,1,서울,
8.22금,두산 베어스,14,1,0,9,1,0,승,0,대구,
8.22금,삼성 라이온즈,8,3,2,12,0,0,패,1,대구,
8.22금,SK 와이번스,9,0,0,2,3,1,패,0,대전,
8.22금,한화 이글스,18,0,1,5,1,1,승,1,대전,
8.22금,키움 히어로즈,4,1,0,3,0,1,패,0,창원,
8.22금,NC 다이노스,6,0,2,7,2,0,승,1,창원,
8.23토,한화 이글스,12,0,1,8,0,0,패,0,광주,
8.23토,KIA 타이거즈,9,1,0,4,1,0,승,1,광주,
8.23토,LG 트윈스,7,0,0,8,0,0,승,0,부산,
8.23토,롯데 자이언츠,5,0,0,6,1,0,패,1,부산,
8.23토,NC 다이노스,16,1,2,8,1,1,승,0,서울,
8.23토,두산 베어스,11,1,2,6,0,1,패,1,서울,
8.23토,SK 와이번스,11,1,3,6,2,2,패,0,대구,
8.23토,삼성 라이온즈,13,2,3,4,3,2,승,1,대구,
8.24일,LG 트윈스,8,1,0,8,1,1,승,0,부산,
8.24일,롯데 자이언츠,6,1,0,7,0,1,패,1,부산,
8.24일,NC 다이노스,11,0,1,4,0,1,승,0,서울,
8.24일,두산 베어스,8,0,1,4,0,0,패,1,서울,
8.24일,SK 와이번스,14,3,3,13,0,0,승,0,대구,
8.24일,삼성 라이온즈,12,3,0,5,1,1,패,1,대구,
8.25월,한화 이글스,13,2,0,4,3,0,승,0,광주,
8.25월,KIA 타이거즈,3,0,0,6,2,0,패,1,광주,
8.26화,NC 다이노스,4,0,2,8,1,1,패,0,대전,
8.26화,한화 이글스,9,0,2,11,0,2,승,1,대전,
8.26화,삼성 라이온즈,16,1,5,9,1,2,승,0,부산,
8.26화,롯데 자이언츠,11,1,2,10,1,0,패,1,부산,
8.27수,KIA 타이거즈,8,1,1,9,0,2,패,0,서울,
8.27수,키움 히어로즈,8,2,2,9,0,0,승,1,서울,
8.27수,LG 트윈스,9,0,0,8,0,1,승,0,서울,
8.27수,두산 베어스,6,0,1,8,0,0,패,1,서울,
8.27수,NC 다이노스,6,3,2,13,0,0,패,0,대전,
8.27수,한화 이글스,9,1,0,10,0,0,승,1,대전,
8.27수,삼성 라이온즈,9,0,1,3,1,1,패,0,부산,
8.27수,롯데 자이언츠,15,1,0,8,0,0,승,1,부산,
8.28목,KIA 타이거즈,11,1,3,8,0,4,패,0,부산,
8.28목,롯데 자이언츠,11,0,2,10,1,1,승,1,부산,
8.28목,LG 트윈스,3,0,0,9,1,1,패,0,인천,
8.28목,SK 와이번스,8,1,1,7,0,1,승,1,인천,
8.28목,삼성 라이온즈,13,0,4,9,0,0,패,0,서울,
8.28목,두산 베어스,10,1,1,9,0,1,승,1,서울,
8.28목,키움 히어로즈,11,3,0,5,0,0,승,0,대전,
8.28목,한화 이글스,12,0,0,9,0,0,패,1,대전,
8.29금,KIA 타이거즈,12,1,0,15,0,2,승,0,부산,
8.29금,롯데 자이언츠,8,0,0,11,0,1,패,1,부산,
8.29금,LG 트윈스,16,3,1,4,1,0,승,0,인천,
8.29금,SK 와이번스,7,1,0,8,1,0,패,1,인천,
8.29금,삼성 라이온즈,3,1,1,1,2,0,패,0,서울,
8.29금,두산 베어스,8,1,1,4,0,0,승,1,서울,
8.29금,키움 히어로즈,17,2,1,10,1,0,패,0,대전,
8.29금,한화 이글스,13,2,0,10,1,0,승,1,대전,
8.30토,롯데 자이언츠,6,0,0,10,0,1,패,0,서울,
8.30토,LG 트윈스,4,0,0,4,1,1,승,1,서울,
8.30토,두산 베어스,9,1,1,6,1,1,승,0,창원,
8.30토,NC 다이노스,3,1,1,9,0,2,패,1,창원,
8.30토,SK 와이번스,12,2,1,5,2,1,승,0,광주,
8.30토,KIA 타이거즈,7,0,2,10,1,1,패,1,광주,
8.30토,키움 히어로즈,10,2,1,10,1,1,승,0,대구,
8.30토,삼성 라이온즈,9,1,2,6,0,2,패,1,대구,
8.31일,롯데 자이언츠,8,2,0,8,1,1,승,0,서울,
8.31일,LG 트윈스,6,0,1,6,1,0,패,1,서울,
8.31일,두산 베어스,14,3,1,6,0,1,승,0,창원,
8.31일,NC 다이노스,10,1,0,7,0,0,패,1,창원,
8.31일,SK 와이번스,11,1,1,10,1,0,승,0,광주,
8.31일,KIA 타이거즈,10,1,3,6,0,1,패,1,광주,
8.31일,키움 히어로즈,11,2,0,4,2,0,승,0,대구,
8.31일,삼성 라이온즈,4,0,0,6,1,0,패,1,대구,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
team_text,번호,,,,,,,,,,
NC 다이노스,1,,,,,,,,,,
두산 베어스,2,,,,,,,,,,
KT 위즈,3,,,,,,,,,,
LG 트윈스,4,,,,,,,,,,
키움 히어로즈,5,,,,,,,,,,
KIA 타이거즈,6,,,,,,,,,,
롯데 자이언츠,7,,,,,,,,,,
삼성 라이온즈,8,,,,,,,,,,
SK 와이번스,9,,,,,,,,,,
한화 이글스,10,,,,,,,,,,
