day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,,
7.7월,롯데 자이언츠,11,0,0,11,3,1,패,1,부산
7.8화,KIA 타이거즈,18,3,0,7,2,0,승,0,인천
7.8화,SK 와이번스,9,0,1,7,0,0,패,1,인천
7.8화,롯데 자이언츠,5,0,0,5,1,0,패,0,대구
7.8화,삼성 라이온즈,6,1,0,5,1,1,승,1,대구
7.8화,두산 베어스,22,1,0,6,1,1,승,0,서울
7.8화,LG 트윈스,14,0,0,3,2,0,패,1,서울
7.8화,키움 히어로즈,15,4,0,4,2,0,승,0,대전
7.8화,한화 이글스,8,0,0,4,1,2,패,1,대전
7.9수,KIA 타이거즈,11,2,0,5,0,1,패,0,인천
7.9수,SK 와이번스,13,0,1,2,1,0,승,1,인천
7.9수,롯데 자이언츠,9,1,0,10,1,1,패,0,대구
7.9수,삼성 라이온즈,9,1,1,4,0,0,승,1,대구
7.9수,두산 베어스,8,0,0,3,2,0,패,0,서울
7.9수,LG 트윈스,10,0,0,4,2,1,승,1,서울
7.9수,키움 히어로즈,21,3,0,8,1,1,승,0,대전
7.9수,한화 이글스,6,0,0,8,2,2,패,1,대전
7.10목,KIA 타이거즈,10,1,1,8,0,0,승,0,인천
7.10목,SK 와이번스,7,0,1,10,0,0,패,1,인천
7.10목,롯데 자이언츠,13,2,1,11,0,1,승,0,대구
7.10목,삼성 라이온즈,6,0,1,4,2,1,패,1,대구
7.10목,두산 베어스,16,3,1,2,1,1,승,0,서울
7.10목,LG 트윈스,14,2,0,7,1,1,패,1,서울
7.10목,키움 히어로즈,8,1,0,8,0,0,패,0,대전
7.10목,한화 이글스,10,1,1,8,0,2,승,1,대전
7.11금,한화 이글스,13,1,1,4,1,1,승,0,서울
7.11금,두산 베어스,8,1,0,5,1,0,패,1,서울
7.11금,롯데 자이언츠,16,1,0,1,1,0,승,0,광주
7.11금,KIA 타이거즈,10,2,2,4,0,2,패,1,광주
7.11금,NC 다이노스,4,0,0,7,0,1,패,0,서울
7.11금,키움 히어로즈,8,2,0,3,1,0,승,1,서울
7.11금,SK 와이번스,9,2,0,9,1,1,패,0,대구
7.11금,삼성 라이온즈,16,0,0,6,1,0,승,1,대구
7.12토,한화 이글스,8,1,2,5,1,1,패,0,서울
7.12토,두산 베어스,9,1,2,5,0,0,승,1,서울
7.12토,롯데 자이언츠,9,0,2,9,2,1,패,0,광주
7.12토,KIA 타이거즈,16,0,2,9,3,0,승,1,광주
7.12토,NC 다이노스,18,5,0,6,0,0,승,0,서울
7.12토,키움 히어로즈,9,2,0,9,1,0,패,1,서울
7.12토,SK 와이번스,16,3,2,9,2,1,승,0,대구
7.12토,삼성 라이온즈,14,5,0,7,1,0,패,1,대구
7.13일,한화 이글스,13,0,1,6,2,0,승,0,서울
7.13일,두산 베어스,7,0,1,6,1,1,패,1,서울
7.13일,롯데 자이언츠,8,1,0,6,3,0,승,0,광주
7.13일,KIA 타이거즈,4,0,0,4,1,1,패,1,광주
7.13일,NC 다이노스,13,2,2,6,2,1,승,0,서울
7.13일,키움 히어로즈,11,0,0,5,2,1,패,1,서울
7.13일,SK 와이번스,8,0,0,4,0,1,승,0,대구
7.13일,삼성 라이온즈,5,0,0,7,0,0,패,1,대구
7.15화,한화 이글스,12,1,2,5,0,0,승,0,인천
7.15화,SK 와이번스,8,1,0,6,2,0,패,1,인천
7.15화,삼성 라이온즈,5,1,0,2,1,1,패,0,서울
7.15화,LG 트윈스,8,0,0,4,0,0,승,1,서울
7.16수,한화 이글스,16,4,0,3,0,0,승,0,인천
7.16수,SK 와이번스,5,1,0,11,0,2,패,1,인천
7.16수,두산 베어스,12,0,2,5,0,0,패,0,창원
7.16수,NC 다이노스,17,1,2,7,0,1,승,1,창원
7.16수,삼성 라이온즈,10,0,0,4,0,0,패,0,서울
7.16수,LG 트윈스,17,0,4,9,2,1,승,1,서울
7.16수,키움 히어로즈,6,1,0,9,1,0,승,0,부산
7.16수,롯데 자이언츠,7,0,0,9,0,0,패,1,부산
7.22화,LG 트윈스,7,0,0,8,0,1,패,0,광주
7.22화,KIA 타이거즈,6,0,1,5,1,1,승,1,광주
7.22화,NC 다이노스,20,1,1,3,1,0,패,0,대전
7.22화,한화 이글스,15,3,1,5,1,1,승,1,대전
7.22화,삼성 라이온즈,4,2,1,4,0,0,승,0,부산
7.22화,롯데 자이언츠,10,0,1,10,0,0,패,1,부산
7.23수,LG 트윈스,13,4,2,6,2,2,승,0,광주
7.23수,KIA 타이거즈,13,4,0,11,0,1,패,1,광주
7.23수,NC 다이노스,15,2,4,8,1,3,승,0,대전
7.23수,한화 이글스,10,1,0,6,3,1,패,1,대전
7.23수,삼성 라이온즈,18,4,0,8,1,0,승,0,부산
7.23수,롯데 자이언츠,15,3,2,8,1,1,패,1,부산
7.24목,LG 트윈스,11,1,0,7,1,2,승,0,광주
7.24목,KIA 타이거즈,5,0,2,7,0,1,패,1,광주
7.24목,NC 다이노스,19,4,1,6,0,0,승,0,대전
7.24목,한화 이글스,14,3,0,5,1,5,패,1,대전
7.24목,SK 와이번스,12,0,1,9,1,3,승,0,서울
7.24목,두산 베어스,5,0,0,6,1,2,패,1,서울
7.24목,삼성 라이온즈,17,3,0,5,1,0,승,0,부산
7.24목,롯데 자이언츠,11,0,0,9,0,2,패,1,부산
7.25금,KIA 타이거즈,9,0,0,5,0,2,패,0,대전
7.25금,한화 이글스,10,0,1,5,1,0,승,1,대전
7.25금,NC 다이노스,9,2,0,6,1,1,패,0,대구
7.25금,삼성 라이온즈,13,0,1,7,0,0,승,1,대구
7.26토,KIA 타이거즈,4,0,2,9,0,1,패,0,대전
7.26토,한화 이글스,8,0,1,9,1,2,승,1,대전
7.26토,롯데 자이언츠,11,0,0,9,1,2,패,0,서울
7.26토,LG 트윈스,6,0,0,7,0,0,승,1,서울
7.26토,NC 다이노스,5,1,0,9,1,0,패,0,대구
7.26토,삼성 라이온즈,5,1,1,5,0,0,승,1,대구
7.26토,키움 히어로즈,6,1,1,8,1,1,패,0,인천
7.26토,SK 와이번스,7,0,1,7,2,0,승,1,인천
7.27일,KIA 타이거즈,18,4,1,5,0,1,승,0,대전
7.27일,한화 이글스,9,0,0,8,1,1,패,1,대전
7.27일,롯데 자이언츠,9,2,0,12,1,1,승,0,서울
7.27일,LG 트윈스,6,1,2,3,0,0,패,1,서울
7.27일,NC 다이노스,7,0,0,13,0,0,패,0,대구
7.27일,삼성 라이온즈,9,0,0,5,0,0,승,1,대구
7.27일,키움 히어로즈,11,3,0,10,2,0,승,0,인천
7.27일,SK 와이번스,11,1,0,13,0,2,패,1,인천
7.28월,롯데 자이언츠,2,0,0,7,2,0,패,0,서울
7.28월,LG 트윈스,12,1,0,4,0,0,승,1,서울
7.28월,키움 히어로즈,11,2,2,13,0,0,승,0,인천
7.28월,SK 와이번스,11,2,2,5,0,1,패,1,인천
7.29화,한화 이글스,10,0,0,6,1,4,패,0,서울
7.29화,키움 히어로즈,16,3,0,9,0,0,승,1,서울
7.29화,KIA 타이거즈,13,2,0,6,4,1,패,0,창원
7.29화,NC 다이노스,12,0,3,6,1,1,승,1,창원
7.29화,LG 트윈스,12,0,2,3,2,1,승,0,대구
7.29화,삼성 라이온즈,15,1,1,8,0,0,패,1,대구
7.29화,두산 베어스,20,1,2,0,1,2,승,0,부산
7.29화,롯데 자이언츠,5,1,0,12,0,0,패,1,부산
7.30수,한화 이글스,10,2,2,8,0,0,패,0,서울
7.30수,키움 히어로즈,10,2,0,4,2,0,승,1,서울
7.30수,KIA 타이거즈,9,1,2,9,2,1,패,0,창원
7.30수,NC 다이노스,12,2,4,7,1,0,승,1,창원
7.30수,LG 트윈스,10,2,1,7,1,1,패,0,대구
7.30수,삼성 라이온즈,15,0,3,4,2,0,승,1,대구
7.30수,두산 베어스,6,0,0,9,1,0,패,0,부산
7.30수,롯데 자이언츠,11,0,0,4,1,0,승,1,부산
7.31목,한화 이글스,9,2,1,9,1,0,승,0,서울
7.31목,키움 히어로즈,13,3,0,7,0,0,패,1,서울
7.31목,KIA 타이거즈,5,0,0,8,1,0,패,0,창원
7.31목,NC 다이노스,10,1,0,12,0,0,승,1,창원
7.31목,LG 트윈스,9,1,1,6,1,0,패,0,대구
7.31목,삼성 라이온즈,9,1,2,10,0,0,승,1,대구
7.31목,두산 베어스,9,1,1,8,2,1,패,0,부산
7.31목,롯데 자이언츠,14,1,0,10,0,1,승,1,부산
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
team_text,번호,,,,,,,,,
NC 다이노스,1,,,,,,,,,
두산 베어스,2,,,,,,,,,
KT 위즈,3,,,,,,,,,
LG 트윈스,4,,,,,,,,,
키움 히어로즈,5,,,,,,,,,
KIA 타이거즈,6,,,,,,,,,
롯데 자이언츠,7,,,,,,,,,
삼성 라이온즈,8,,,,,,,,,
SK 와이번스,9,,,,,,,,,
한화 이글스,10,,,,,,,,,
