day_text,,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,,지점명,,,,,,,,지점,지점명,일시,기온(°C),강수량(mm),습도(%)
5.13화,5.1,KIA 타이거즈,7,1,1,7,0,2,패,0,창원,,,,,,,,108,서울,6.22,27.3,,63
5.13화,5.1,NC 다이노스,7,1,1,4,3,1,승,1,창원,,,,,,,,108,서울,6.23,21.4,,86
5.13화,5.1,롯데 자이언츠,6,0,1,7,0,1,패,0,서울,,,,,,,,108,서울,6.24,26.3,,50
5.13화,5.1,LG 트윈스,7,1,0,2,1,0,승,1,서울,,,,,,,,108,서울,6.25,26.5,,61
5.13화,5.1,두산 베어스,13,1,3,9,0,0,승,0,인천,,,,,,,,108,서울,6.26,27.3,,50
5.13화,5.1,SK 와이번스,10,3,0,7,0,1,패,1,인천,,,,,,,,108,서울,6.27,26.3,,59
5.14수,5.1,한화 이글스,7,0,2,11,1,0,패,0,대구,,,,,,,,108,서울,6.28,25,,64
5.14수,5.1,삼성 라이온즈,11,0,1,5,1,1,승,1,대구,,,,,,,,108,서울,6.29,28.2,,54
5.14수,5.1,KIA 타이거즈,12,0,2,8,1,2,패,0,창원,,,,,,,,108,서울,6.30,29.1,,50
5.14수,5.1,NC 다이노스,10,2,3,6,0,0,승,1,창원,,,,,,,,108,서울,7.1,30.4,,56
5.14수,5.1,롯데 자이언츠,9,0,0,6,0,0,패,0,서울,,,,,,,,108,서울,7.2,26.7,,76
5.14수,5.1,LG 트윈스,6,0,1,7,1,0,승,1,서울,,,,,,,,108,서울,7.3,24,,76
5.14수,5.1,두산 베어스,15,3,0,7,0,0,승,0,인천,,,,,,,,108,서울,7.4,31.6,,41
5.14수,5.1,SK 와이번스,5,0,2,11,1,1,패,1,인천,,,,,,,,108,서울,7.5,27.4,,66
5.15목,5.1,한화 이글스,10,0,0,15,0,0,무,0,대구,,,,,,,,108,서울,7.6,28.1,,52
5.15목,5.1,삼성 라이온즈,9,1,0,5,1,0,무,1,대구,,,,,,,,108,서울,7.7,31.5,,54
5.15목,5.1,KIA 타이거즈,8,4,2,5,0,1,승,0,창원,,,,,,,,108,서울,7.8,29.1,,61
5.15목,5.1,NC 다이노스,10,1,0,14,0,1,패,1,창원,,,,,,,,108,서울,7.9,27.3,0,82
5.15목,5.1,롯데 자이언츠,14,0,0,9,0,0,승,0,서울,,,,,,,,108,서울,7.10,33.3,,30
5.15목,5.1,LG 트윈스,10,1,0,4,1,1,패,1,서울,,,,,,,,108,서울,7.11,29,,60
