day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,지점명,기온(°C),강수량(mm),습도(%)
4.15일,kt wiz,13,0,0,3,2,1,패,서울,18,,35
4.15일,LG 트윈스,16,1,0,5,3,0,승,서울,18,,35
4.15일,NC 다이노스,12,0,0,7,2,0,패,인천,13.8,,52
4.15일,SK 와이번스,12,0,0,3,1,0,승,인천,13.8,,52
4.15일,두산 베어스,8,0,1,8,0,0,승,서울,18,,35
4.15일,키움 히어로즈,4,0,0,12,0,0,패,서울,18,,35
4.15일,삼성 라이온즈,11,1,0,2,2,1,패,대전,22.7,,24
4.15일,한화 이글스,10,0,1,4,1,0,승,대전,22.7,,24
4.17화,한화 이글스,12,2,0,9,0,0,승,서울,18.3,,25
4.17화,두산 베어스,7,0,0,9,1,0,패,서울,18.3,,25
4.17화,LG 트윈스,8,1,1,9,0,1,패,광주,18.6,,30
4.17화,KIA 타이거즈,11,0,2,6,1,2,승,광주,18.6,,30
4.17화,NC 다이노스,9,1,0,9,2,0,승,서울,18.3,,25
4.17화,키움 히어로즈,8,0,0,11,0,0,패,서울,18.3,,25
4.17화,SK 와이번스,17,4,5,12,1,1,승,수원,17.7,,33
4.17화,kt wiz,11,0,0,6,0,1,패,수원,17.7,,33
4.17화,삼성 라이온즈,13,1,3,11,1,2,승,부산,14.5,,53
4.17화,롯데 자이언츠,11,2,0,9,1,2,패,부산,14.5,,53
4.18수,한화 이글스,13,1,1,12,1,1,패,서울,19.6,,23
4.18수,두산 베어스,7,0,1,12,0,0,승,서울,19.6,,23
4.18수,LG 트윈스,10,0,1,6,1,0,패,광주,20.4,,26
4.18수,KIA 타이거즈,8,0,1,4,0,1,승,광주,20.4,,26
4.18수,NC 다이노스,2,0,0,8,0,0,승,서울,19.6,,23
4.18수,키움 히어로즈,2,0,0,9,0,0,패,서울,19.6,,23
4.18수,SK 와이번스,13,4,0,6,2,0,승,수원,20.9,,32
4.18수,kt wiz,9,0,0,7,4,1,패,수원,20.9,,32
4.18수,삼성 라이온즈,15,3,1,17,2,0,패,부산,15.2,,35
4.18수,롯데 자이언츠,13,4,0,12,1,1,승,부산,15.2,,35
4.19목,한화 이글스,7,0,1,10,0,0,패,서울,19.2,,28
4.19목,두산 베어스,11,0,0,8,0,0,승,서울,19.2,,28
4.19목,LG 트윈스,8,1,0,7,0,0,패,광주,12.3,1,89
4.19목,KIA 타이거즈,12,2,0,3,0,1,승,광주,12.3,1,89
4.19목,NC 다이노스,6,1,1,9,3,1,패,서울,19.2,,28
4.19목,키움 히어로즈,11,1,1,10,1,0,승,서울,19.2,,28
4.19목,SK 와이번스,7,2,1,12,0,0,승,수원,16.7,,49
4.19목,kt wiz,13,2,3,8,0,0,패,수원,16.7,,49
4.19목,삼성 라이온즈,13,0,2,6,4,0,승,부산,14.8,,70
4.19목,롯데 자이언츠,8,0,0,7,1,3,패,부산,14.8,,70
4.20금,KIA 타이거즈,7,1,0,5,3,0,패,서울,22.3,,32
4.20금,두산 베어스,10,1,1,8,1,1,승,서울,22.3,,32
4.20금,kt wiz,12,1,1,4,0,0,승,대구,15.1,,53
4.20금,삼성 라이온즈,11,2,0,6,2,1,패,대구,15.1,,53
4.20금,LG 트윈스,14,3,0,6,1,2,승,창원,16.9,,61
4.20금,NC 다이노스,8,1,0,3,2,0,패,창원,16.9,,61
4.20금,SK 와이번스,7,1,1,11,0,0,패,부산,14.6,,64
4.20금,롯데 자이언츠,12,2,0,8,2,0,승,부산,14.6,,64
4.20금,키움 히어로즈,13,2,0,7,2,0,승,대전,19.5,,45
4.20금,한화 이글스,8,0,0,5,0,1,패,대전,19.5,,45
4.21토,KIA 타이거즈,9,1,0,6,2,0,패,서울,9.7,6,90
4.21토,두산 베어스,13,2,0,7,0,1,승,서울,9.7,6,90
4.21토,kt wiz,7,0,2,7,1,0,패,대구,14,1.5,89
4.21토,삼성 라이온즈,9,1,1,4,2,1,승,대구,14,1.5,89
4.21토,LG 트윈스,12,1,0,11,0,1,승,창원,15.4,5.5,87
4.21토,NC 다이노스,5,2,1,10,0,0,패,창원,15.4,5.5,87
4.21토,SK 와이번스,9,1,0,8,0,0,패,부산,15,7,92
4.21토,롯데 자이언츠,8,2,0,10,1,1,승,부산,15,7,92
4.21토,키움 히어로즈,9,0,1,8,1,0,승,대전,13.5,0.5,86
4.21토,한화 이글스,8,1,1,4,2,0,패,대전,13.5,0.5,86
4.22일,KIA 타이거즈,22,3,0,4,2,2,승,서울,8.1,0,92
4.22일,두산 베어스,10,0,0,7,0,2,패,서울,8.1,0,92
4.22일,kt wiz,11,2,1,12,0,2,승,대구,19,,38
4.22일,삼성 라이온즈,8,0,3,8,1,1,패,대구,19,,38
4.22일,LG 트윈스,9,3,1,6,2,0,승,창원,17.5,,58
4.22일,NC 다이노스,13,1,0,4,1,1,패,창원,17.5,,58
4.22일,SK 와이번스,13,2,0,7,3,0,승,부산,16.6,,65
4.22일,롯데 자이언츠,9,0,2,9,1,0,패,부산,16.6,,65
4.22일,키움 히어로즈,15,2,0,7,0,0,승,대전,10.6,,78
4.22일,한화 이글스,5,0,1,8,2,1,패,대전,10.6,,78
4.24화,롯데 자이언츠,17,4,0,6,2,2,승,수원,25.8,,45
4.24화,kt wiz,10,2,0,13,0,1,패,수원,25.8,,45
4.24화,NC 다이노스,5,0,0,9,1,1,패,대구,28,,20
4.24화,삼성 라이온즈,7,1,2,7,1,0,승,대구,28,,20
4.24화,두산 베어스,11,3,1,10,1,0,승,인천,20.9,,65
4.24화,SK 와이번스,13,1,3,7,0,1,패,인천,20.9,,65
4.24화,키움 히어로즈,7,0,0,4,3,1,패,서울,25.9,,33
4.24화,LG 트윈스,10,2,0,3,2,2,승,서울,25.9,,33
4.25수,한화 이글스,6,1,0,7,0,1,승,광주,16.2,0,94
4.25수,KIA 타이거즈,7,0,0,8,0,1,패,광주,16.2,0,94
4.25수,롯데 자이언츠,16,1,1,4,1,0,승,수원,14.1,1,95
4.25수,kt wiz,12,1,0,8,0,1,패,수원,14.1,1,95
4.25수,NC 다이노스,13,1,0,7,1,0,승,대구,14,0,89
4.25수,삼성 라이온즈,9,0,0,6,0,0,패,대구,14,0,89
4.25수,두산 베어스,12,2,1,8,0,2,패,인천,14.5,0.5,91
4.25수,SK 와이번스,12,3,0,9,1,1,승,인천,14.5,0.5,91
4.25수,키움 히어로즈,6,0,0,6,1,1,패,서울,13.4,0.5,90
4.25수,LG 트윈스,9,0,0,7,1,0,승,서울,13.4,0.5,90
4.26목,한화 이글스,7,0,0,9,0,1,승,광주,16.1,,28
4.26목,KIA 타이거즈,10,0,0,1,2,1,패,광주,16.1,,28
4.26목,롯데 자이언츠,4,1,0,9,1,1,패,수원,11.8,,56
4.26목,kt wiz,7,0,0,7,1,0,승,수원,11.8,,56
4.26목,NC 다이노스,9,0,2,5,0,0,승,대구,18.4,,16
4.26목,삼성 라이온즈,8,0,1,8,0,1,패,대구,18.4,,16
4.26목,두산 베어스,10,0,2,9,1,0,패,인천,11.8,,56
4.26목,SK 와이번스,8,2,0,8,0,0,승,인천,11.8,,56
4.26목,키움 히어로즈,3,0,0,7,3,0,패,서울,14.3,,34
4.26목,LG 트윈스,17,1,0,7,0,1,승,서울,14.3,,34
4.27금,한화 이글스,12,1,0,6,1,1,패,부산,18.5,,31
4.27금,롯데 자이언츠,9,0,0,8,0,0,승,부산,18.5,,31
4.27금,KIA 타이거즈,15,1,1,6,3,0,승,수원,19.5,,24
4.27금,kt wiz,6,2,1,7,0,0,패,수원,19.5,,24
4.27금,두산 베어스,9,1,1,11,1,0,승,창원,18.4,,30
4.27금,NC 다이노스,6,0,1,10,0,1,패,창원,18.4,,30
4.27금,SK 와이번스,10,3,1,6,1,0,승,서울,19.2,,16
4.27금,키움 히어로즈,10,0,0,9,0,0,패,서울,19.2,,16
4.27금,삼성 라이온즈,7,0,0,5,1,0,패,서울,19.2,,16
4.27금,LG 트윈스,15,1,3,7,0,1,승,서울,19.2,,16
4.28토,한화 이글스,6,0,2,9,0,2,승,부산,20.7,,57
4.28토,롯데 자이언츠,9,1,0,7,1,0,패,부산,20.7,,57
4.28토,KIA 타이거즈,10,1,0,4,1,0,패,수원,20.2,,52
4.28토,kt wiz,13,2,1,8,0,1,승,수원,20.2,,52
4.28토,두산 베어스,7,0,0,5,1,0,패,창원,19.5,,50
4.28토,NC 다이노스,10,0,0,4,0,1,승,창원,19.5,,50
4.28토,SK 와이번스,11,0,1,11,1,3,승,서울,18.4,,51
4.28토,키움 히어로즈,8,0,2,6,0,3,패,서울,18.4,,51
4.28토,삼성 라이온즈,8,1,0,8,1,1,패,서울,18.4,,51
4.28토,LG 트윈스,9,0,2,8,2,1,승,서울,18.4,,51
4.29일,한화 이글스,12,1,0,7,1,1,패,부산,17.4,,76
4.29일,롯데 자이언츠,7,1,0,7,0,1,승,부산,17.4,,76
4.29일,KIA 타이거즈,7,0,0,9,0,1,패,수원,22.3,,62
4.29일,kt wiz,9,3,0,6,1,0,승,수원,22.3,,62
4.29일,두산 베어스,12,3,0,3,2,0,승,창원,18,,76
4.29일,NC 다이노스,6,0,0,3,1,2,패,창원,18,,76
4.29일,SK 와이번스,10,1,1,7,1,1,패,서울,23.6,,47
4.29일,키움 히어로즈,17,0,0,8,1,2,승,서울,23.6,,47
4.29일,삼성 라이온즈,18,2,0,11,1,1,승,서울,23.6,,47
4.29일,LG 트윈스,15,1,1,8,2,1,패,서울,23.6,,47
