day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,game_location,기온(°C),강수량(mm),습도(%),,,,
8.9목,SK 와이번스,3,1,0,8,0,1,패,창원,28.6,0,81,,,,
8.9목,NC 다이노스,10,3,0,9,0,1,승,창원,28.6,0,81,,,,
8.9목,삼성 라이온즈,15,0,2,7,1,0,승,서울,28.1,0.5,86,,,,
8.9목,LG 트윈스,12,2,0,4,2,1,패,서울,28.1,0.5,86,,,,
8.9목,키움 히어로즈,25,1,2,4,2,1,승,대전,33.1,0,65,,,,
8.9목,한화 이글스,13,1,0,4,1,2,패,대전,33.1,0,65,,,,
8.10금,두산 베어스,9,0,0,5,1,0,패,수원,34.9,0,48,,,,
8.10금,kt wiz,13,1,1,3,0,0,승,수원,34.9,0,48,,,,
8.10금,SK 와이번스,9,3,0,5,0,2,승,창원,27,0,91,,,,
8.10금,NC 다이노스,10,2,0,7,1,2,패,창원,27,0,91,,,,
8.10금,삼성 라이온즈,15,1,0,8,0,2,패,서울,35.2,0,44,,,,
8.10금,LG 트윈스,12,0,1,6,1,1,승,서울,35.2,0,44,,,,
8.10금,키움 히어로즈,17,1,3,10,0,1,승,대전,33.7,0,60,,,,
8.10금,한화 이글스,10,2,3,8,0,1,패,대전,33.7,0,60,,,,
8.11토,KIA 타이거즈,24,4,0,5,1,0,승,인천,32.1,0,63,,,,
8.11토,SK 와이번스,8,2,0,4,2,2,패,인천,32.1,0,63,,,,
8.11토,kt wiz,9,1,0,9,1,1,패,대전,32.1,0,60,,,,
8.11토,한화 이글스,7,0,1,7,1,0,승,대전,32.1,0,60,,,,
8.11토,LG 트윈스,11,1,1,10,0,0,패,서울,34.4,0,40,,,,
8.11토,키움 히어로즈,18,3,0,4,1,2,승,서울,34.4,0,40,,,,
8.11토,롯데 자이언츠,8,1,0,9,0,0,패,서울,34.4,0,40,,,,
8.11토,두산 베어스,12,2,0,5,3,0,승,서울,34.4,0,40,,,,
8.11토,NC 다이노스,10,1,1,7,0,0,승,대구,27.8,0,66,,,,
8.11토,삼성 라이온즈,5,0,0,7,0,1,패,대구,27.8,0,66,,,,
8.12일,KIA 타이거즈,25,8,1,2,1,0,승,인천,31,0,67,,,,
8.12일,SK 와이번스,10,3,0,6,1,3,패,인천,31,0,67,,,,
8.12일,kt wiz,7,1,0,15,0,0,패,대전,32.4,0,66,,,,
8.12일,한화 이글스,11,1,0,8,1,0,승,대전,32.4,0,66,,,,
8.12일,LG 트윈스,10,0,1,4,2,0,패,서울,33.4,0,49,,,,
8.12일,키움 히어로즈,15,1,1,5,1,1,승,서울,33.4,0,49,,,,
8.12일,롯데 자이언츠,18,2,0,6,1,0,승,서울,33.4,0,49,,,,
8.12일,두산 베어스,16,4,0,9,0,0,패,서울,33.4,0,49,,,,
8.12일,NC 다이노스,8,1,0,10,1,1,패,대구,31.3,0,63,,,,
8.12일,삼성 라이온즈,10,2,1,3,1,1,승,대구,31.3,0,63,,,,
8.14화,한화 이글스,8,2,2,6,2,1,패,부산,30.6,0,65,,,,
8.14화,롯데 자이언츠,12,2,0,8,0,0,승,부산,30.6,0,65,,,,
8.14화,LG 트윈스,14,0,0,4,0,2,패,광주,35,0,53,,,,
8.14화,KIA 타이거즈,14,1,2,5,1,0,승,광주,35,0,53,,,,
8.14화,NC 다이노스,7,0,1,7,2,0,패,수원,33.7,0,53,,,,
8.14화,kt wiz,14,3,2,7,0,2,승,수원,33.7,0,53,,,,
8.14화,SK 와이번스,8,1,0,7,1,1,패,서울,33.7,0,53,,,,
8.14화,두산 베어스,9,1,1,5,0,0,승,서울,33.7,0,53,,,,
8.14화,키움 히어로즈,19,2,1,11,0,2,승,대구,35.1,0,40,,,,
8.14화,삼성 라이온즈,13,3,2,4,0,0,패,대구,35.1,0,40,,,,
8.15수,LG 트윈스,16,3,0,7,2,1,승,광주,30.7,0,72,,,,
8.15수,KIA 타이거즈,8,1,0,8,0,0,패,광주,30.7,0,72,,,,
8.15수,NC 다이노스,19,5,1,5,2,0,승,수원,35,0,56,,,,
8.15수,kt wiz,11,2,1,4,1,0,패,수원,35,0,56,,,,
8.15수,SK 와이번스,17,1,0,4,1,1,승,서울,32.8,0.1,63,,,,
8.15수,두산 베어스,7,0,0,9,1,3,패,서울,32.8,0.1,63,,,,
8.15수,키움 히어로즈,10,0,2,9,1,0,승,대구,28.5,0,67,,,,
8.15수,삼성 라이온즈,7,1,0,8,1,1,패,대구,28.5,0,67,,,,
8.16목,한화 이글스,5,0,0,9,1,2,패,대구,25.5,0,72,,,,
8.16목,삼성 라이온즈,6,1,1,8,2,0,승,대구,25.5,0,72,,,,
8.16목,KIA 타이거즈,17,2,0,9,0,0,패,부산,25.5,0,85,,,,
