day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
5.21수,롯데 자이언츠,13,0,0,9,0,1,패
5.21수,삼성 라이온즈,7,3,2,4,0,0,승
5.21수,SK 와이번스,16,2,0,9,0,0,승
5.21수,NC 다이노스,8,0,1,7,0,0,패
5.22목,한화 이글스,20,1,0,5,1,2,승
5.22목,키움 히어로즈,9,0,0,4,3,2,패
5.22목,LG 트윈스,21,0,2,5,1,1,승
5.22목,KIA 타이거즈,15,3,0,7,3,1,패
5.22목,롯데 자이언츠,10,1,2,10,0,1,패
5.22목,삼성 라이온즈,9,2,1,6,1,2,승
5.22목,SK 와이번스,9,0,0,14,0,1,승
5.22목,NC 다이노스,8,0,2,4,2,0,패
5.23금,한화 이글스,12,1,0,3,1,1,패
5.23금,두산 베어스,11,1,1,9,0,0,승
5.23금,KIA 타이거즈,6,0,0,7,1,0,패
5.23금,롯데 자이언츠,3,0,0,8,0,0,승
5.23금,LG 트윈스,12,1,1,8,0,1,승
5.23금,SK 와이번스,8,1,2,10,1,2,패
5.23금,키움 히어로즈,6,1,1,5,0,0,패
5.23금,삼성 라이온즈,11,2,1,5,0,1,승
5.24토,한화 이글스,15,0,2,6,0,1,승
5.24토,두산 베어스,14,0,0,5,1,2,패
5.24토,KIA 타이거즈,12,1,0,3,0,2,승
5.24토,롯데 자이언츠,2,0,0,7,0,1,패
5.24토,LG 트윈스,7,2,1,11,2,0,패
5.24토,SK 와이번스,8,3,2,5,0,0,승
5.24토,키움 히어로즈,6,1,1,7,0,0,패
5.24토,삼성 라이온즈,7,3,3,4,0,0,승
5.25일,한화 이글스,12,0,3,8,2,0,패
5.25일,두산 베어스,18,1,0,2,2,1,승
5.25일,KIA 타이거즈,14,1,1,4,2,0,승
5.25일,롯데 자이언츠,6,1,0,7,0,1,패
5.25일,LG 트윈스,6,0,1,5,0,1,패
5.25일,SK 와이번스,12,0,5,5,0,0,승
5.25일,키움 히어로즈,5,1,0,11,0,2,패
5.25일,삼성 라이온즈,23,2,0,7,2,0,승
5.27화,NC 다이노스,19,5,0,8,1,2,승
5.27화,한화 이글스,15,0,1,4,1,2,패
5.27화,두산 베어스,11,1,0,10,0,0,패
5.27화,KIA 타이거즈,12,0,0,8,2,0,승
5.27화,SK 와이번스,10,0,0,6,1,1,패
5.27화,키움 히어로즈,15,3,2,4,2,0,승
5.27화,삼성 라이온즈,8,0,0,9,1,0,패
5.27화,LG 트윈스,9,0,1,6,1,2,승
5.28수,NC 다이노스,17,4,0,9,0,0,승
5.28수,한화 이글스,7,0,0,7,0,0,패
5.28수,두산 베어스,13,2,2,4,1,1,승
5.28수,KIA 타이거즈,12,1,1,10,0,0,패
5.28수,SK 와이번스,7,1,2,4,1,0,패
5.28수,키움 히어로즈,7,2,0,2,2,0,승
5.28수,삼성 라이온즈,12,1,1,1,1,0,승
5.28수,LG 트윈스,9,0,2,6,1,0,패
5.29목,NC 다이노스,19,2,0,2,1,0,승
5.29목,한화 이글스,16,0,0,4,3,0,패
5.29목,두산 베어스,22,1,2,6,0,0,승
5.29목,KIA 타이거즈,16,2,2,10,1,0,패
5.29목,SK 와이번스,16,1,4,7,1,1,승
5.29목,키움 히어로즈,7,1,4,10,0,0,패
5.29목,삼성 라이온즈,8,1,4,5,2,0,승
5.29목,LG 트윈스,6,0,1,7,1,1,패
5.30금,LG 트윈스,8,0,1,9,0,1,패
5.30금,키움 히어로즈,13,2,2,7,2,0,승
5.30금,롯데 자이언츠,7,1,1,6,1,0,패
5.30금,두산 베어스,11,0,1,3,1,0,승
5.30금,NC 다이노스,14,0,2,6,0,2,승
5.30금,KIA 타이거즈,8,2,0,5,2,2,패
5.30금,SK 와이번스,10,0,1,6,2,0,승
5.30금,한화 이글스,6,1,1,4,0,0,패
5.31토,LG 트윈스,13,2,2,7,0,0,승
5.31토,키움 히어로즈,12,1,1,10,1,0,패
5.31토,롯데 자이언츠,29,2,0,4,1,1,승
5.31토,두산 베어스,5,1,0,3,1,2,패
5.31토,NC 다이노스,12,1,2,8,1,1,승
5.31토,KIA 타이거즈,9,3,1,7,0,0,패
5.31토,SK 와이번스,11,0,0,1,1,0,승
5.31토,한화 이글스,11,1,1,6,1,1,패
