day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : temp
9.15토,삼성 라이온즈,7,1,2,7,1,1,1,대구,21.2,0,72,,,,
9.18화,삼성 라이온즈,8,0,1,8,1,0,1,대구,24.9,0,48,,,,
9.19수,삼성 라이온즈,9,0,1,9,2,0,0,대전,22.2,0,63,,,,
9.20목,삼성 라이온즈,7,0,0,10,0,0,1,광주,22.9,0,58,,,,
9.21금,삼성 라이온즈,13,1,2,6,0,1,1,광주,22.1,0,66,,,,
9.22토,삼성 라이온즈,9,0,1,2,0,1,1,대구,23.8,0,55,,,,
9.24월,삼성 라이온즈,7,0,0,11,0,1,1,대구,23.1,0,49,,,,
9.25화,삼성 라이온즈,6,0,1,6,2,1,0,대구,22.4,0,48,,,,
9.26수,삼성 라이온즈,2,0,0,13,0,0,0,대구,22,0,58,,,,
9.27목,삼성 라이온즈,11,0,1,2,3,0,1,부산,21.8,0,63,,,,
9.28금,삼성 라이온즈,13,0,1,4,0,0,1,대구,24.1,0,47,,,,
9.30일,삼성 라이온즈,13,1,1,4,0,0,1,서울,18.5,0,53,,,,
10.1월,삼성 라이온즈,17,2,0,4,0,0,1,서울,20.9,0,58,,,,
10.2화,삼성 라이온즈,8,0,1,3,0,0,1,서울,22.2,0,53,,,,
10.3수,삼성 라이온즈,8,0,1,8,2,1,1,대구,20.2,0,50,,,,
10.4목,삼성 라이온즈,6,0,0,5,0,0,1,대구,23.1,0,29,,,,
10.5금,삼성 라이온즈,4,0,0,8,1,0,0,광주,20.5,0,62,,,,
10.6토,삼성 라이온즈,11,0,1,4,1,0,1,광주,20.7,0,49,,,,
10.24수,삼성 라이온즈,5,1,0,6,0,1,1,대구,15.9,0,48,,,,
10.25목,삼성 라이온즈,7,1,0,9,0,0,1,대구,18.7,0,42,,,,
10.28일,삼성 라이온즈,8,1,0,6,0,3,0,인천,14.1,0,78,,,,
10.29월,삼성 라이온즈,8,0,0,9,0,0,0,인천,12,0,61,,,,
4.5금,삼성 라이온즈,14,1,0,3,1,0,1,창원,14.6,0,62,,,,
4.7일,삼성 라이온즈,7,0,2,5,0,0,1,창원,10.1,0,33,,,,
4.9화,삼성 라이온즈,13,0,1,1,0,1,1,대전,8.5,0,34,,,,
4.10수,삼성 라이온즈,5,2,2,10,0,0,1,대전,8.9,0,33,,,,
4.11목,삼성 라이온즈,15,0,0,5,0,3,1,대전,9.8,0,28,,,,
4.12금,삼성 라이온즈,6,0,2,9,1,0,0,대구,12.2,0,23,,,,
4.13토,삼성 라이온즈,19,3,1,8,0,1,1,대구,18.9,0,21,,,,
4.14일,삼성 라이온즈,19,2,0,7,1,0,1,대구,17.6,0,13,,,,
4.16화,삼성 라이온즈,7,0,0,6,1,0,0,인천,10.1,0,99,,,,
4.17수,삼성 라이온즈,10,1,1,6,0,1,1,인천,16.1,0,73,,,,
4.18목,삼성 라이온즈,13,0,2,4,4,0,0,인천,12.6,0,36,,,,
4.19금,삼성 라이온즈,12,2,3,4,1,0,0,부산,10.4,0,44,,,,
4.21일,삼성 라이온즈,10,0,0,9,1,1,1,부산,12.8,0,51,,,,
4.24수,삼성 라이온즈,7,0,2,9,1,0,1,대구,20.7,0,24,,,,
4.25목,삼성 라이온즈,6,0,2,9,0,0,1,대구,16.8,0,49,,,,
4.26금,삼성 라이온즈,9,0,0,8,1,0,1,대구,18.1,0,19,,,,
4.27토,삼성 라이온즈,5,0,1,11,0,1,0,대구,16.3,0,33,,,,
4.28일,삼성 라이온즈,8,0,1,2,0,0,1,대구,21.6,0,37,,,,
