day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
9.9일,LG 트윈스,14,0,1,4,1,1,1,서울,23.3,0,59,,,,,,,,,
9.10월,LG 트윈스,13,0,0,3,0,0,1,서울,26.3,0,48,,,,,,,,,
9.12수,LG 트윈스,5,0,1,7,1,4,0,서울,22,0,74,,,,,,,,,
9.15토,LG 트윈스,5,0,0,3,0,0,1,서울,23.9,0,53,,,,,,,,,
9.16일,LG 트윈스,11,0,0,5,3,0,0,서울,21.6,0,58,,,,,,,,,
9.18화,LG 트윈스,6,0,0,7,1,1,0,서울,22.1,0,62,,,,,,,,,
9.19수,LG 트윈스,6,0,0,3,1,1,0,서울,22.9,0,48,,,,,,,,,
9.20목,LG 트윈스,3,0,0,10,0,1,0,서울,22.5,0,58,,,,,,,,,
9.21금,LG 트윈스,9,0,2,4,0,1,1,서울,22.4,0,43,,,,,,,,,
9.23일,LG 트윈스,6,0,1,6,1,0,0,부산,22.4,0,64,,,,,,,,,
9.24월,LG 트윈스,8,1,2,4,1,0,1,인천,23.9,0,70,,,,,,,,,
9.25화,LG 트윈스,10,1,0,8,0,0,0,인천,23.7,0,67,,,,,,,,,
9.27목,LG 트윈스,4,0,5,5,0,0,1,서울,21.5,0,54,,,,,,,,,
9.28금,LG 트윈스,6,0,1,5,0,0,0,서울,18.5,0,75,,,,,,,,,
9.29토,LG 트윈스,14,0,2,4,1,1,1,서울,17.4,0,52,,,,,,,,,
9.30일,LG 트윈스,9,0,2,6,0,1,0,서울,18.5,0,53,,,,,,,,,
10.1월,LG 트윈스,9,0,0,4,1,0,0,서울,20.9,0,58,,,,,,,,,
10.2화,LG 트윈스,8,0,0,6,1,0,0,서울,22.2,0,53,,,,,,,,,
10.3수,LG 트윈스,8,1,0,8,1,1,1,서울,22.6,0,45,,,,,,,,,
10.6토,LG 트윈스,6,0,0,7,1,0,1,서울,21.3,0,53,,,,,,,,,
4.2화,LG 트윈스,6,0,0,2,1,0,0,서울,7.7,0,78,,,,,,,,,
4.3수,LG 트윈스,16,1,4,5,1,1,1,서울,11.3,0,45,,,,,,,,,
4.4목,LG 트윈스,6,0,1,3,1,1,0,서울,18.1,0,26,,,,,,,,,
4.5금,LG 트윈스,13,0,2,8,0,0,1,서울,17.6,0,33,,,,,,,,,
4.7일,LG 트윈스,11,0,1,9,1,4,0,서울,8.1,0,44,,,,,,,,,
4.9화,LG 트윈스,12,0,0,5,1,2,1,창원,11.9,0,12,,,,,,,,,
4.10수,LG 트윈스,7,0,2,8,0,0,1,창원,8.9,0,31,,,,,,,,,
4.11목,LG 트윈스,9,0,0,3,1,0,0,창원,12.3,0,16,,,,,,,,,
4.12금,LG 트윈스,12,1,1,6,0,0,1,서울,9.5,0,29,,,,,,,,,
4.13토,LG 트윈스,11,1,3,4,0,0,1,서울,16.1,0,22,,,,,,,,,
4.14일,LG 트윈스,9,2,0,5,2,0,1,서울,8.4,0,16,,,,,,,,,
4.16화,LG 트윈스,8,0,4,6,0,0,0,서울,14.3,0,73,,,,,,,,,
4.17수,LG 트윈스,9,0,6,5,0,1,0,서울,17.2,0,52,,,,,,,,,
4.18목,LG 트윈스,19,0,3,8,0,2,1,서울,14.1,0,20,,,,,,,,,
4.24수,LG 트윈스,10,0,3,13,0,0,0,대구,20.7,0,24,,,,,,,,,
4.25목,LG 트윈스,9,0,0,12,0,2,0,대구,16.8,0,49,,,,,,,,,
4.26금,LG 트윈스,11,1,0,4,0,3,1,부산,18.4,0,19,,,,,,,,,
4.27토,LG 트윈스,6,0,1,7,0,1,0,부산,15.4,0,47,,,,,,,,,
4.28일,LG 트윈스,7,0,2,4,0,0,1,부산,18.4,0,31,,,,,,,,,
4.30화,LG 트윈스,7,1,1,11,2,0,0,서울,16.1,0,36,,,,,,,,,
5.1수,LG 트윈스,10,0,0,5,0,0,0,창원,13,0,61,,,,,,,,,
5.2목,LG 트윈스,3,0,0,8,0,1,0,창원,15.1,0,61,,,,,,,,,
5.3금,LG 트윈스,16,0,1,2,1,1,1,서울,14.4,0,55,,,,,,,,,
5.4토,LG 트윈스,10,0,0,2,2,0,0,서울,18.4,0,33,,,,,,,,,
5.5일,LG 트윈스,6,0,3,4,0,1,0,서울,18,0,27,,,,,,,,,
5.7화,LG 트윈스,7,0,1,11,0,1,0,서울,23.1,0,35,,,,,,,,,
5.8수,LG 트윈스,6,0,1,10,1,0,0,서울,23.8,0,20,,,,,,,,,
5.10금,LG 트윈스,9,0,0,9,0,0,1,부산,20,0,76,,,,,,,,,
5.11토,LG 트윈스,14,0,0,6,1,3,0,부산,21.6,0,41,,,,,,,,,
5.12일,LG 트윈스,7,1,1,9,0,1,0,부산,21.7,0,58,,,,,,,,,
