day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
5.5목,kt wiz,7,0,2,8,2,2,0,수원,24.5,0,31,,,,,,,,,
5.6금,kt wiz,15,3,1,6,3,1,1,수원,14.3,0,100,,,,,,,,,
5.7토,kt wiz,20,0,2,9,0,0,1,수원,18.6,0,43,,,,,,,,,
5.8일,kt wiz,13,1,0,4,1,0,1,수원,22.1,0,37,,,,,,,,,
5.11수,kt wiz,9,1,0,9,3,2,0,광주,21.8,0,59,,,,,,,,,
5.12목,kt wiz,8,2,0,5,0,1,0,광주,24,0,48,,,,,,,,,
5.13금,kt wiz,10,2,0,7,1,0,1,창원,19,0,64,,,,,,,,,
5.14토,kt wiz,9,4,0,7,0,0,1,창원,19.8,0,62,,,,,,,,,
5.17화,kt wiz,13,0,1,5,1,0,0,수원,24.6,0,28,,,,,,,,,
5.18수,kt wiz,5,0,0,8,1,0,0,수원,26.5,0,38,,,,,,,,,
5.19목,kt wiz,3,0,1,7,2,1,0,수원,29,0,27,,,,,,,,,
5.20금,kt wiz,8,0,2,10,1,1,0,대전,28.1,0,23,,,,,,,,,
5.22일,kt wiz,22,5,1,4,1,3,1,대전,28.3,0,26,,,,,,,,,
5.24화,kt wiz,11,0,2,9,0,0,0,서울,18.7,0,68,,,,,,,,,
5.25수,kt wiz,15,2,0,9,2,0,0,서울,22.5,0,61,,,,,,,,,
5.26목,kt wiz,11,0,0,8,2,1,0,서울,20.5,0,68,,,,,,,,,
5.27금,kt wiz,11,1,1,4,0,0,1,수원,23.4,0,45,,,,,,,,,
5.28토,kt wiz,7,0,0,2,1,1,0,수원,23.1,0,45,,,,,,,,,
5.29일,kt wiz,9,1,0,3,1,1,0,수원,23.2,0,48,,,,,,,,,
5.31화,kt wiz,10,2,1,5,1,2,0,부산,23.6,0,65,,,,,,,,,
6.1,kt wiz,4,0,0,6,1,0,0,부산,20.9,0,50,,,,,,,,,
6.2,kt wiz,8,0,0,7,2,2,1,부산,20.8,0,63,,,,,,,,,
6.3,kt wiz,9,0,0,5,1,1,1,수원,25.2,0,39,,,,,,,,,
6.4,kt wiz,9,0,0,3,0,0,0,수원,21.3,0,66,,,,,,,,,
6.5,kt wiz,11,2,1,7,0,1,1,수원,27.1,0,49,,,,,,,,,
6.7,kt wiz,4,0,1,6,1,3,0,수원,22.9,0,65,,,,,,,,,
6.8,kt wiz,11,1,1,9,1,0,1,수원,23.4,0,61,,,,,,,,,
6.9,kt wiz,7,0,1,4,2,2,0,수원,26.3,0,53,,,,,,,,,
6.1,kt wiz,17,0,7,11,0,1,1,서울,26.6,0,55,,,,,,,,,
6.11,kt wiz,8,0,1,10,1,1,0,서울,24.9,0,76,,,,,,,,,
6.12,kt wiz,2,0,1,8,0,0,0,서울,25.9,0,66,,,,,,,,,
6.14,kt wiz,6,1,1,4,2,1,1,수원,24,0,67,,,,,,,,,
6.16,kt wiz,9,0,1,4,2,0,1,수원,22.1,0,74,,,,,,,,,
6.17,kt wiz,5,0,0,6,1,0,0,수원,26.6,0,53,,,,,,,,,
6.18,kt wiz,8,1,0,6,0,3,0,수원,26,0,58,,,,,,,,,
6.19,kt wiz,14,2,0,5,1,2,0,수원,26,0,63,,,,,,,,,
6.21,kt wiz,3,1,0,7,0,1,0,서울,27.8,0,54,,,,,,,,,
6.23,kt wiz,10,0,0,7,0,1,1,서울,26.5,0,68,,,,,,,,,
6.24,kt wiz,8,1,1,8,1,2,1,대구,24.8,0,73,,,,,,,,,
6.25,kt wiz,20,3,3,6,0,0,1,대구,28.1,0,32,,,,,,,,,
6.26,kt wiz,11,4,1,7,0,1,0,대구,29.8,0,33,,,,,,,,,
6.28,kt wiz,5,0,0,6,1,2,0,수원,27.7,0,53,,,,,,,,,
6.29,kt wiz,12,1,0,7,0,0,0,수원,26.9,0,65,,,,,,,,,
6.3,kt wiz,12,2,1,6,1,1,1,수원,26.7,0,80,,,,,,,,,
7.6수,kt wiz,8,0,0,6,1,0,0,수원,24,0,84,,,,,,,,,
7.7목,kt wiz,3,1,1,5,0,2,0,수원,27.1,0,63,,,,,,,,,
7.8금,kt wiz,9,0,1,4,2,1,0,인천,29.5,0,78,,,,,,,,,
7.9토,kt wiz,13,0,2,4,0,3,1,인천,28,0,77,,,,,,,,,
7.10일,kt wiz,7,2,0,4,2,0,1,인천,28.6,0,80,,,,,,,,,
7.12화,kt wiz,15,1,0,5,0,1,0,수원,27.4,0,71,,,,,,,,,
7.13수,kt wiz,12,1,1,5,0,1,0,수원,27.5,0,65,,,,,,,,,
7.14목,kt wiz,13,0,1,6,1,0,0,수원,29.1,0,61,,,,,,,,,
7.19화,kt wiz,11,0,0,6,0,0,0,대전,30.2,0,67,,,,,,,,,
7.20수,kt wiz,9,0,1,9,0,0,1,대전,29.2,0,71,,,,,,,,,
7.21목,kt wiz,3,1,1,9,0,1,0,대전,30,0,69,,,,,,,,,
7.22금,kt wiz,11,1,0,6,0,3,1,수원,32.4,0,58,,,,,,,,,
7.23토,kt wiz,4,1,0,10,2,2,0,수원,30.7,0,73,,,,,,,,,
7.24일,kt wiz,7,0,0,3,1,0,1,수원,30.5,0,74,,,,,,,,,
7.26화,kt wiz,8,0,0,4,1,0,0,광주,32.1,0,66,,,,,,,,,
7.27수,kt wiz,8,1,0,3,2,0,0,광주,30.2,0,72,,,,,,,,,
7.28목,kt wiz,9,1,1,3,4,1,0,광주,32.1,0,64,,,,,,,,,
7.29금,kt wiz,16,1,2,6,0,0,1,수원,27.7,0,90,,,,,,,,,
7.30토,kt wiz,5,2,2,6,1,1,1,수원,31,0,68,,,,,,,,,
7.31일,kt wiz,8,1,0,5,0,1,1,수원,30.4,0,70,,,,,,,,,
8.4,kt wiz,4,0,0,11,0,1,0,창원,28.8,0,0,,,,,,,,,
8.5,kt wiz,4,0,0,5,1,1,0,서울,35.1,0,0,,,,,,,,,
8.6,kt wiz,9,0,0,7,1,0,0,서울,33.5,0,0,,,,,,,,,
8.7,kt wiz,13,1,0,8,0,2,0,서울,33.5,0,0,,,,,,,,,
8.9,kt wiz,7,0,1,8,1,0,0,수원,32.5,0,0,,,,,,,,,
8.1,kt wiz,4,0,0,8,2,2,0,수원,31,0,0,,,,,,,,,
8.11,kt wiz,10,0,0,6,0,1,0,인천,31.6,0,0,,,,,,,,,
8.12,kt wiz,8,0,0,11,0,2,0,인천,31.6,0,0,,,,,,,,,
8.13,kt wiz,6,2,1,6,1,1,0,창원,32.5,0,0,,,,,,,,,
8.14,kt wiz,13,1,1,6,0,0,1,창원,32.9,0,0,,,,,,,,,
8.16,kt wiz,14,0,0,8,1,0,1,광주,31.5,0,0,,,,,,,,,
8.18,kt wiz,13,1,1,5,0,1,0,수원,31.9,0,0,,,,,,,,,
8.19,kt wiz,11,3,0,2,1,1,0,수원,32.3,0,0,,,,,,,,,
8.2,kt wiz,12,2,3,8,1,2,1,수원,32.4,0,0,,,,,,,,,
8.21,kt wiz,14,0,0,2,1,0,0,수원,32.6,0,0,,,,,,,,,
8.23,kt wiz,13,0,0,5,2,2,0,부산,28.4,0,0,,,,,,,,,
8.24,kt wiz,13,0,2,4,3,1,1,부산,28.8,0,0,,,,,,,,,
