day_text,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
8.7금,18:30,한화 이글스,17,0,2,10,1,0,패
8.7금,18:30,롯데 자이언츠,7,0,0,9,2,2,패
8.7금,18:30,NC 다이노스,19,2,0,2,0,0,승
8.7금,18:30,SK 와이번스,12,2,0,6,1,0,패
8.7금,18:30,삼성 라이온즈,19,1,2,8,0,0,승
8.7금,18:30,키움 히어로즈,14,0,1,9,1,1,패
8.7금,18:30,두산 베어스,16,1,1,6,0,3,승
8.8토,18:00,KIA 타이거즈,6,0,0,12,0,2,패
8.8토,18:00,NC 다이노스,11,2,1,3,1,0,승
8.8토,18:00,kt wiz,12,2,0,12,0,0,패
8.8토,18:00,SK 와이번스,14,2,1,6,0,3,승
8.8토,18:00,LG 트윈스,8,0,1,9,0,0,승
8.8토,18:00,두산 베어스,8,1,1,5,1,1,패
8.8토,18:00,롯데 자이언츠,11,1,1,8,1,0,패
8.8토,18:00,한화 이글스,8,2,0,6,1,0,승
8.9일,18:00,KIA 타이거즈,8,2,3,8,1,0,승
8.9일,18:00,NC 다이노스,5,2,1,9,1,0,패
8.9일,18:00,kt wiz,14,3,1,10,1,0,승
8.9일,18:00,SK 와이번스,11,2,0,6,0,1,패
8.9일,18:00,LG 트윈스,8,1,1,7,0,0,패
8.9일,18:00,두산 베어스,12,1,1,5,0,0,승
8.9일,18:00,롯데 자이언츠,10,0,1,3,3,0,패
8.9일,18:00,한화 이글스,8,1,0,5,1,0,승
8.9일,18:00,키움 히어로즈,10,1,1,8,0,0,패
8.9일,18:00,삼성 라이온즈,7,1,2,5,2,0,승
8.10월,18:30,키움 히어로즈,17,2,0,8,0,0,승
8.10월,18:30,삼성 라이온즈,7,1,2,11,0,2,패
8.11화,18:30,한화 이글스,9,1,0,11,0,0,승
8.11화,18:30,kt wiz,3,0,0,7,2,0,패
8.11화,18:30,NC 다이노스,19,1,0,11,2,2,승
8.11화,18:30,키움 히어로즈,10,4,1,10,1,0,패
8.11화,18:30,SK 와이번스,15,2,1,4,2,0,패
8.11화,18:30,롯데 자이언츠,15,1,0,5,2,0,승
8.11화,18:30,삼성 라이온즈,4,0,2,5,0,2,패
8.11화,18:30,LG 트윈스,14,0,0,5,1,2,승
8.12수,18:30,한화 이글스,18,1,0,10,0,0,승
8.12수,18:30,kt wiz,8,2,0,4,0,1,패
8.12수,18:30,NC 다이노스,14,3,2,9,1,0,승
8.12수,18:30,키움 히어로즈,10,2,0,10,0,1,패
8.12수,18:30,두산 베어스,12,1,0,5,1,1,패
8.12수,18:30,KIA 타이거즈,10,1,1,8,0,0,승
8.12수,18:30,삼성 라이온즈,7,2,0,7,0,0,승
8.12수,18:30,LG 트윈스,4,0,0,9,0,1,패
8.13목,18:30,한화 이글스,9,0,0,5,1,1,패
8.13목,18:30,키움 히어로즈,17,2,0,5,1,1,승
8.13목,18:30,LG 트윈스,23,6,0,9,2,1,승
8.13목,18:30,SK 와이번스,5,2,1,15,0,0,패
8.13목,18:30,롯데 자이언츠,8,1,0,8,2,1,승
8.13목,18:30,kt wiz,8,1,0,7,1,1,패
8.13목,18:30,NC 다이노스,8,0,0,7,1,0,패
8.13목,18:30,두산 베어스,11,1,2,6,0,0,승
8.13목,18:30,삼성 라이온즈,13,0,0,6,0,0,승
8.13목,18:30,KIA 타이거즈,4,1,0,9,1,0,패
8.14금,18:30,한화 이글스,8,1,0,7,0,1,패
8.14금,18:30,키움 히어로즈,12,0,0,2,2,0,승
8.14금,18:30,LG 트윈스,8,0,0,9,1,1,패
8.14금,18:30,SK 와이번스,10,2,1,4,0,2,승
8.14금,18:30,롯데 자이언츠,12,2,0,8,2,1,패
8.14금,18:30,kt wiz,9,1,1,6,1,0,승
8.14금,18:30,NC 다이노스,8,0,1,12,0,1,승
8.14금,18:30,두산 베어스,8,0,0,4,0,0,패
8.14금,18:30,삼성 라이온즈,6,1,1,10,0,1,패
8.14금,18:30,KIA 타이거즈,12,4,1,6,0,0,승
8.15토,18:00,한화 이글스,6,0,3,12,0,0,패
8.15토,18:00,삼성 라이온즈,8,0,4,6,0,0,승
