day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,team_location,기온(°C),강수량(mm),습도(%),,,,지점,지점명,일시,기온(°C),강수량(mm),습도(%)
4.12,LG,17,0,1,10,1,1,승,서울,,,,,,,108,서울,6.27,28,,35
4.12,NC,10,3,0,4,0,2,패,대구,,,,,,,108,서울,6.28,28.6,,42
4.12,삼성,18,2,0,8,1,1,승,대구,,,,,,,108,서울,6.29,26.7,,61
4.12,두산,9,2,0,7,1,2,승,대전,,,,,,,108,서울,6.30,26.1,,73
4.12,한화,9,0,0,7,3,0,패,대전,,,,,,,108,서울,7.1,23.6,4,92
4.13,KIA,6,0,0,10,2,0,패,인천,,,,,,,108,서울,7.2,26.7,,62
4.13,SK,7,1,2,8,1,1,승,인천,,,,,,,108,서울,7.3,26.3,,53
4.13,kt,13,1,2,11,0,2,승,서울,,,,,,,108,서울,7.4,21.4,3.5,93
4.13,키움,13,1,4,10,0,0,패,서울,,,,,,,108,서울,7.5,24,5.5,94
4.13,롯데,8,1,0,8,3,0,패,서울,,,,,,,108,서울,7.6,26.4,,59
4.13,LG,9,1,1,11,0,1,승,서울,,,,,,,108,서울,7.7,27.5,,59
4.13,NC,10,0,1,5,1,0,승,대구,,,,,,,108,서울,7.8,32.2,,48
4.13,삼성,5,0,1,6,1,0,패,대구,,,,,,,108,서울,7.9,30.3,,60
4.13,두산,15,1,0,6,0,0,승,대전,,,,,,,108,서울,7.10,30.2,,61
4.13,한화,15,0,1,12,1,2,패,대전,,,,,,,108,서울,7.11,30.2,,63
4.14,KIA,10,1,0,11,0,0,패,인천,,,,,,,108,서울,7.12,28.8,,54
4.14,SK,14,0,1,8,1,0,승,인천,,,,,,,108,서울,7.13,28.8,,64
4.14,kt,10,2,1,7,0,2,승,서울,,,,,,,108,서울,7.14,30.1,,57
4.14,키움,7,2,1,9,2,1,패,서울,,,,,,,108,서울,7.15,27.9,0,60
4.14,롯데,15,1,0,8,0,1,승,서울,,,,,,,108,서울,7.16,21,0,93
4.14,LG,8,0,0,10,0,1,패,서울,,,,,,,108,서울,7.17,22.8,,76
4.14,NC,8,2,2,16,1,2,패,대구,,,,,,,108,서울,7.18,28,,61
4.14,삼성,11,0,3,4,2,0,승,대구,,,,,,,108,서울,7.19,31.3,,49
4.14,두산,14,4,0,7,1,1,승,대전,,,,,,,108,서울,7.20,30.9,,59
4.14,한화,5,0,0,10,2,2,패,대전,,,,,,,108,서울,7.21,31.3,,55
4.15,LG,19,4,2,7,2,1,승,대전,,,,,,,108,서울,7.22,32.2,,60
