day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,,,,,,,
9.6목,키움 히어로즈,5,0,0,4,1,0,0,서울,25.1,0,36,,,,,,,,,
9.7금,키움 히어로즈,6,1,1,6,1,2,1,서울,25.2,0,45,,,,,,,,,
9.8토,키움 히어로즈,9,2,2,8,0,2,0,인천,20.8,0,76,,,,,,,,,
9.9일,키움 히어로즈,3,0,0,8,2,0,0,인천,22.6,0,80,,,,,,,,,
9.10월,키움 히어로즈,11,2,0,11,1,0,0,대구,22,0,72,,,,,,,,,
9.12수,키움 히어로즈,3,0,4,9,0,1,0,서울,22,0,74,,,,,,,,,
9.13목,키움 히어로즈,10,0,4,7,0,0,1,서울,19.1,0.5,89,,,,,,,,,
9.14금,키움 히어로즈,8,1,4,11,1,0,0,서울,20.2,0,56,,,,,,,,,
9.15토,키움 히어로즈,7,3,0,7,1,0,1,서울,23.9,0,53,,,,,,,,,
9.16일,키움 히어로즈,7,0,4,15,0,2,0,서울,21.6,0,58,,,,,,,,,
9.18화,키움 히어로즈,5,0,3,11,0,0,1,서울,22.1,0,62,,,,,,,,,
9.19수,키움 히어로즈,9,2,2,9,0,0,1,서울,22.9,0,48,,,,,,,,,
9.20목,키움 히어로즈,8,1,2,7,0,1,1,서울,22.5,0,58,,,,,,,,,
9.21금,키움 히어로즈,7,1,0,5,0,1,0,대전,22.2,0,61,,,,,,,,,
9.22토,키움 히어로즈,8,0,1,3,1,0,1,서울,23.6,0,36,,,,,,,,,
9.23일,키움 히어로즈,3,0,0,4,0,2,0,서울,24.6,0,38,,,,,,,,,
9.26수,키움 히어로즈,8,1,0,6,2,1,0,서울,23.4,0,52,,,,,,,,,
9.27목,키움 히어로즈,6,0,1,8,0,1,0,서울,21.5,0,54,,,,,,,,,
9.28금,키움 히어로즈,15,2,0,5,2,0,1,서울,18.5,0,75,,,,,,,,,
9.29토,키움 히어로즈,7,2,6,11,1,0,1,대전,17.5,0,60,,,,,,,,,
9.30일,키움 히어로즈,7,0,3,8,1,0,0,서울,18.5,0,53,,,,,,,,,
10.1월,키움 히어로즈,7,1,1,5,0,0,1,서울,20.9,0,58,,,,,,,,,
10.2화,키움 히어로즈,3,0,1,9,0,0,0,서울,22.2,0,53,,,,,,,,,
10.5금,키움 히어로즈,6,1,0,4,1,1,0,서울,20.8,0,48,,,,,,,,,
4.2화,키움 히어로즈,4,1,0,4,3,1,1,서울,7.7,0,78,,,,,,,,,
4.3수,키움 히어로즈,12,3,0,11,2,1,0,서울,11.3,0,45,,,,,,,,,
4.4목,키움 히어로즈,7,1,2,6,0,1,1,서울,18.1,0,26,,,,,,,,,
4.5금,키움 히어로즈,8,0,0,7,2,1,1,서울,17.6,0,33,,,,,,,,,
4.7일,키움 히어로즈,10,0,1,4,0,0,1,서울,8.1,0,44,,,,,,,,,
4.9화,키움 히어로즈,6,0,0,11,1,0,0,서울,7.2,0,50,,,,,,,,,
4.10수,키움 히어로즈,2,0,0,8,1,0,0,서울,7,0,36,,,,,,,,,
4.11목,키움 히어로즈,7,0,1,9,0,0,1,서울,7.5,0,33,,,,,,,,,
4.12금,키움 히어로즈,5,1,2,5,0,1,1,대구,12.2,0,23,,,,,,,,,
4.13토,키움 히어로즈,8,1,2,9,1,0,0,대구,18.9,0,21,,,,,,,,,
4.14일,키움 히어로즈,9,2,0,8,0,0,0,대구,17.6,0,13,,,,,,,,,
4.16화,키움 히어로즈,9,2,1,0,1,0,1,서울,14.3,0,73,,,,,,,,,
4.17수,키움 히어로즈,8,1,2,10,0,0,1,서울,17.2,0,52,,,,,,,,,
4.18목,키움 히어로즈,25,1,0,7,3,0,1,서울,14.1,0,20,,,,,,,,,
4.19금,키움 히어로즈,4,1,3,6,1,0,1,창원,11.3,0,43,,,,,,,,,
4.21일,키움 히어로즈,12,1,0,7,2,0,1,창원,14.6,0,24,,,,,,,,,
4.24수,키움 히어로즈,13,1,2,9,1,0,1,서울,14.7,0,52,,,,,,,,,
4.25목,키움 히어로즈,8,1,2,6,3,1,0,서울,10,0,74,,,,,,,,,
4.30화,키움 히어로즈,8,0,1,8,1,0,1,서울,16.1,0,36,,,,,,,,,
5.1수,키움 히어로즈,10,4,1,5,1,2,1,대구,14.2,0,48,,,,,,,,,
5.2목,키움 히어로즈,10,0,2,5,0,1,1,대구,16.4,0,55,,,,,,,,,
5.3금,키움 히어로즈,4,1,0,10,1,0,1,서울,14.4,0,55,,,,,,,,,
5.4토,키움 히어로즈,7,2,0,5,0,2,0,서울,18.4,0,33,,,,,,,,,
5.5일,키움 히어로즈,11,2,2,5,2,1,0,서울,18,0,27,,,,,,,,,
5.7화,키움 히어로즈,11,1,0,3,1,2,1,서울,23.1,0,35,,,,,,,,,
5.8수,키움 히어로즈,10,0,1,6,0,0,1,서울,23.8,0,20,,,,,,,,,
5.10금,키움 히어로즈,12,0,0,9,1,0,0,서울,13.9,0,83,,,,,,,,,
5.11토,키움 히어로즈,7,1,1,3,0,0,1,서울,23.9,0,25,,,,,,,,,
5.12일,키움 히어로즈,9,0,0,6,3,0,1,서울,21.5,0,58,,,,,,,,,
5.14화,키움 히어로즈,7,1,0,7,0,1,0,서울,23,0,44,,,,,,,,,
5.15수,키움 히어로즈,20,2,3,6,0,0,1,서울,21.9,0,48,,,,,,,,,
5.16목,키움 히어로즈,10,1,0,8,0,1,1,서울,27.5,0,24,,,,,,,,,
5.21화,키움 히어로즈,17,1,3,5,0,2,1,서울,23.2,0,15,,,,,,,,,
5.22수,키움 히어로즈,12,0,1,7,1,0,1,서울,24.1,0,50,,,,,,,,,
5.23목,키움 히어로즈,6,0,1,13,0,0,0,서울,26,0,47,,,,,,,,,
5.24금,키움 히어로즈,4,0,1,10,1,0,0,서울,25.5,0,41,,,,,,,,,
5.25토,키움 히어로즈,9,1,1,10,1,0,1,서울,28.7,0,37,,,,,,,,,
5.26일,키움 히어로즈,14,0,0,4,2,0,1,서울,24.7,0,45,,,,,,,,,
5.29수,키움 히어로즈,8,1,1,10,0,1,1,창원,21.2,0,77,,,,,,,,,
5.30목,키움 히어로즈,2,1,0,9,0,3,0,창원,22.9,0,46,,,,,,,,,
5.31금,키움 히어로즈,14,1,0,8,1,0,1,서울,24.8,0,40,,,,,,,,,
6.1토,키움 히어로즈,8,0,0,9,2,2,0,서울,25.8,0,32,,,,,,,,,
6.2일,키움 히어로즈,7,1,0,6,0,2,0,서울,27.4,0,46,,,,,,,,,
