day,time_Text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
7.6목,19:00,삼성 라이온즈,부산,8,0,0,11,1,0,패,23.5,0.8,4.8,270,92,1002.5,24.7
7.7금,19:00,두산 베어스,서울,13,4,0,11,0,1,승,26.8,2,2.2,200,86,996.5,26
7.7금,19:00,NC 다이노스,서울,8,0,0,9,3,0,패,26.8,2,2.2,200,86,996.5,26
7.7금,19:00,키움 히어로즈,서울,14,3,0,2,1,0,승,26.8,2,2.2,200,86,996.5,26
7.7금,19:00,삼성 라이온즈,서울,10,0,0,10,0,1,패,26.8,2,2.2,200,86,996.5,26
7.7금,19:00,SK 와이번스,인천,11,4,0,7,1,0,승,25.3,2.6,5.4,200,94,997.7,25.3
7.7금,19:00,롯데 자이언츠,인천,9,1,0,6,2,0,패,25.3,2.6,5.4,200,94,997.7,25.3
7.8토,18:00,한화 이글스,대전,11,1,1,3,2,1,승,28.2,,1.6,200,85,998.3,30.8
7.8토,18:00,LG 트윈스,대전,10,0,0,5,3,0,패,28.2,,1.6,200,85,998.3,30.8
7.8토,18:00,KIA 타이거즈,광주,20,4,0,8,0,0,승,27.9,,1.8,200,97,998.9,28.6
7.8토,18:00,kt wiz,광주,14,1,0,5,2,2,패,27.9,,1.8,200,97,998.9,28.6
7.8토,18:00,SK 와이번스,인천,8,1,0,6,1,1,패,25.9,,3.5,230,87,997.8,26.3
7.8토,18:00,롯데 자이언츠,인천,8,1,2,9,0,1,승,25.9,,3.5,230,87,997.8,26.3
