day_text.1,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
4.11토,17:00,SK 와이번스,인천,6,0,0,7,1,2,패,16.1,,4,340,59,1015.7,21.2
4.11토,17:00,NC 다이노스,인천,5,0,1,3,0,0,승,16.1,,4,340,59,1015.7,21.2
4.12일,14:00,KIA 타이거즈,광주,10,4,1,4,0,0,승,19.8,,3,200,16,1013,23.3
4.12일,14:00,삼성 라이온즈,광주,9,2,0,8,0,1,패,19.8,,3,200,16,1013,23.3
4.12일,14:00,kt wiz,수원,6,1,1,9,0,0,승,19.3,,5,110,22,1018.9,18.4
4.12일,14:00,키움 히어로즈,수원,7,1,0,5,4,0,패,19.3,,5,110,22,1018.9,18.4
4.12일,14:00,두산 베어스,서울,9,0,0,4,2,1,패,20.2,,3.1,90,21,1012.6,22.1
4.12일,14:00,LG 트윈스,서울,6,1,0,5,2,0,승,20.2,,3.1,90,21,1012.6,22.1
4.12일,14:00,SK 와이번스,인천,11,2,0,6,0,0,승,19.4,,5.8,140,25,1014,23.9
4.12일,14:00,NC 다이노스,인천,9,2,0,10,0,3,패,19.4,,5.8,140,25,1014,23.9
4.12일,17:00,한화 이글스,대전,5,3,0,11,0,2,패,16.7,,6.2,140,26,1013.8,14.9
4.12일,17:00,롯데 자이언츠,대전,14,2,2,5,1,0,승,16.7,,6.2,140,26,1013.8,14.9
4.14화,19:00,NC 다이노스,창원,9,0,2,13,1,1,패,11.1,,1.7,200,54,1001.2,11.2
4.14화,19:00,롯데 자이언츠,창원,7,2,2,8,1,0,승,11.1,,1.7,200,54,1001.2,11.2
4.14화,19:00,두산 베어스,서울,22,5,0,6,2,0,승,6.7,0.5,3.3,50,94,996.9,8.9
4.14화,19:00,kt wiz,서울,4,0,2,4,2,1,패,6.7,0.5,3.3,50,94,996.9,8.9
4.14화,19:00,삼성 라이온즈,대구,11,1,0,5,1,1,패,13.2,,3.3,290,54,998,11.8
4.14화,19:00,한화 이글스,대구,12,2,0,7,0,1,승,13.2,,3.3,290,54,998,11.8
4.15수,19:00,KIA 타이거즈,광주,16,0,0,6,0,1,승,15,,5,230,58,1003.1,13.6
4.15수,19:00,LG 트윈스,광주,8,0,0,5,3,0,패,15,,5,230,58,1003.1,13.6
4.15수,19:00,NC 다이노스,창원,3,0,3,8,0,0,패,15.7,,2.9,200,58,1005.4,13.4
4.15수,19:00,롯데 자이언츠,창원,8,1,0,9,1,0,승,15.7,,2.9,200,58,1005.4,13.4
4.15수,19:00,두산 베어스,서울,12,0,0,8,3,0,승,14.8,,3.5,250,62,998.4,12.5
4.15수,19:00,kt wiz,서울,9,2,2,13,0,1,패,14.8,,3.5,250,62,998.4,12.5
4.15수,19:00,키움 히어로즈,서울,8,1,1,9,0,0,승,14.8,,3.5,250,62,998.4,12.5
4.15수,19:00,SK 와이번스,서울,9,2,1,11,1,1,패,14.8,,3.5,250,62,998.4,12.5
4.15수,19:00,삼성 라이온즈,대구,14,2,3,9,1,2,승,19.1,,2.6,290,33,1001.7,14.5
4.15수,19:00,한화 이글스,대구,9,0,0,7,1,0,패,19.1,,2.6,290,33,1001.7,14.5
4.16목,19:00,KIA 타이거즈,광주,14,0,0,9,1,2,패,9.2,,0.5,360,69,1004,9.8
4.16목,19:00,LG 트윈스,광주,6,2,3,10,0,1,승,9.2,,0.5,360,69,1004,9.8
4.16목,19:00,NC 다이노스,창원,15,0,0,9,1,1,승,12.5,0.3,3.2,320,54,1004.6,12.4
4.16목,19:00,롯데 자이언츠,창원,6,2,3,7,2,1,패,12.5,0.3,3.2,320,54,1004.6,12.4
4.16목,19:00,키움 히어로즈,서울,1,0,0,7,0,0,패,9.5,,5.2,250,64,998.4,8.1
4.16목,19:00,SK 와이번스,서울,10,1,1,8,1,0,승,9.5,,5.2,250,64,998.4,8.1
4.17금,19:00,kt wiz,수원,7,0,2,9,0,0,패,12,,1.9,290,41,1013.1,9.8
4.17금,19:00,삼성 라이온즈,수원,8,1,4,6,0,0,승,12,,1.9,290,41,1013.1,9.8
4.17금,19:00,LG 트윈스,서울,9,4,0,8,1,0,승,12.4,,4.3,290,35,1006.3,9.3
4.17금,19:00,SK 와이번스,서울,8,0,0,8,2,2,패,12.4,,4.3,290,35,1006.3,9.3
4.17금,19:00,키움 히어로즈,서울,8,0,1,7,0,1,승,12.4,,4.3,290,35,1006.3,9.3
4.17금,19:00,KIA 타이거즈,서울,6,0,0,8,0,0,패,12.4,,4.3,290,35,1006.3,9.3
4.17금,19:00,롯데 자이언츠,부산,4,1,0,7,2,1,패,14.7,,6.2,250,29,1008.4,13.5
4.17금,19:00,두산 베어스,부산,15,1,0,6,0,0,승,14.7,,6.2,250,29,1008.4,13.5
4.17금,19:00,NC 다이노스,창원,7,2,0,7,0,2,패,14.6,,3.4,200,22,1012.3,10.3
4.17금,19:00,한화 이글스,창원,14,1,0,5,0,1,승,14.6,,3.4,200,22,1012.3,10.3
4.18토,17:00,kt wiz,수원,4,0,2,9,2,0,패,21.6,,1.2,200,16,1008.1,16.9
4.18토,17:00,삼성 라이온즈,수원,8,1,1,3,0,0,승,21.6,,1.2,200,16,1008.1,16.9
4.18토,17:00,LG 트윈스,서울,6,1,0,8,0,0,패,23.1,,1.5,250,15,1001.8,20.5
4.18토,17:00,SK 와이번스,서울,14,2,1,6,1,0,승,23.1,,1.5,250,15,1001.8,20.5
4.18토,17:00,키움 히어로즈,서울,10,1,0,9,0,1,승,23.1,,1.5,250,15,1001.8,20.5
4.18토,17:00,KIA 타이거즈,서울,7,0,0,10,2,1,패,23.1,,1.5,250,15,1001.8,20.5
4.18토,17:00,롯데 자이언츠,부산,13,0,1,11,0,0,패,17.5,,4.3,230,32,1006.5,20.7
4.18토,17:00,두산 베어스,부산,8,1,0,6,0,1,승,17.5,,4.3,230,32,1006.5,20.7
4.18토,17:00,NC 다이노스,창원,12,1,1,5,0,0,패,16.1,,3.5,160,39,1010.2,16.3
4.18토,17:00,한화 이글스,창원,8,1,1,3,0,0,승,16.1,,3.5,160,39,1010.2,16.3
4.19일,14:00,키움 히어로즈,서울,22,3,0,9,0,1,승,14.6,0.5,4.2,70,96,996.2,17.3
4.19일,14:00,KIA 타이거즈,서울,8,1,1,10,1,0,패,14.6,0.5,4.2,70,96,996.2,17.3
4.21화,19:00,한화 이글스,대전,4,0,1,9,0,2,패,17.5,,2.5,200,37,1007.1,14.5
