day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
9.11수,SK 와이번스,4,0,1,7,1,0,패
9.11수,KIA 타이거즈,9,0,1,9,0,3,승
9.11수,삼성 라이온즈,10,3,0,10,0,0,승
9.11수,키움 히어로즈,11,0,0,7,3,1,패
9.12목,한화 이글스,13,3,0,9,0,1,승
9.12목,NC 다이노스,9,0,1,10,1,1,패
9.12목,KIA 타이거즈,10,0,0,8,3,0,패
9.12목,LG 트윈스,11,0,0,2,0,0,승
9.12목,롯데 자이언츠,3,0,1,11,0,0,승
9.12목,삼성 라이온즈,2,0,0,8,0,0,패
9.12목,두산 베어스,10,2,1,8,1,1,승
9.12목,SK 와이번스,9,1,1,9,2,2,패
9.13금,한화 이글스,4,0,0,10,2,0,패
9.13금,NC 다이노스,8,1,1,3,0,1,승
9.13금,KIA 타이거즈,5,0,1,6,1,0,패
9.13금,LG 트윈스,11,1,0,6,0,0,승
9.13금,롯데 자이언츠,11,2,0,4,0,1,패
9.13금,삼성 라이온즈,11,1,0,5,0,0,승
9.13금,두산 베어스,4,0,0,11,0,1,패
9.13금,SK 와이번스,11,1,1,3,0,0,승
9.14토,NC 다이노스,3,0,0,9,1,0,패
9.14토,LG 트윈스,6,0,0,2,2,2,승
9.14토,두산 베어스,13,1,0,3,2,1,승
9.14토,롯데 자이언츠,7,1,0,3,1,2,패
9.14토,삼성 라이온즈,5,1,2,5,0,0,패
9.14토,한화 이글스,7,0,0,9,0,0,승
9.14토,키움 히어로즈,9,2,0,7,0,2,승
9.14토,SK 와이번스,10,0,1,12,1,0,패
9.15일,NC 다이노스,5,0,1,4,1,0,승
9.15일,LG 트윈스,6,0,0,6,1,0,패
9.15일,두산 베어스,10,0,0,2,1,2,무
9.15일,롯데 자이언츠,9,1,2,9,1,0,무
9.15일,삼성 라이온즈,15,0,0,4,2,0,승
9.15일,한화 이글스,7,0,0,7,1,1,패
9.15일,키움 히어로즈,10,3,2,5,0,1,승
9.15일,SK 와이번스,11,2,1,8,1,1,패
