day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,game_location,기온(°C),강수량(mm),습도(%),,,,지점명,일시,기온(°C),강수량(mm),습도(%)
,,,,,,,,,,,,,,,,인천,6.9,25.3,,62
,,,,,,,,,,,,,,,,인천,6.10,24.2,,78
,,,,,,,,,,,,,,,,인천,6.11,23.5,,73
,,,,,,,,,,,,,,,,인천,6.12,25.4,,66
,,,,,,,,,,,,,,,,인천,6.13,25.7,,65
,,,,,,,,,,,,,,,,인천,6.14,28.3,,60
,,,,,,,,,,,,,,,,인천,6.15,25.6,,60
,,,,,,,,,,,,,,,,인천,6.16,23.1,,83
,,,,,,,,,,,,,,,,인천,6.17,24.2,,68
,,,,,,,,,,,,,,,,인천,6.18,25.2,,59
,,,,,,,,,,,,,,,,인천,6.19,29.5,,47
,,,,,,,,,,,,,,,,인천,6.20,23.8,,86
,,,,,,,,,,,,,,,,인천,6.21,26.1,,66
,,,,,,,,,,,,,,,,인천,6.22,23.9,,89
,,,,,,,,,,,,,,,,인천,6.23,27.6,,63
,,,,,,,,,,,,,,,,인천,6.24,30.9,,49
,,,,,,,,,,,,,,,,인천,6.25,27.6,,59
,,,,,,,,,,,,,,,,인천,6.26,28.5,,46
,,,,,,,,,,,,,,,,인천,6.27,28,,54
,,,,,,,,,,,,,,,,인천,6.28,25.4,,67
,,,,,,,,,,,,,,,,인천,6.29,24.6,0,77
,,,,,,,,,,,,,,,,인천,6.30,20.4,,100
,,,,,,,,,,,,,,,,인천,7.1,23.7,,83
,,,,,,,,,,,,,,,,인천,7.2,23.5,,75
,,,,,,,,,,,,,,,,인천,7.3,22.8,0.3,100
,,,,,,,,,,,,,,,,인천,7.4,22.5,,100
,,,,,,,,,,,,,,,,인천,7.5,21.6,4.7,100
,,,,,,,,,,,,,,,,인천,7.6,20.8,1.2,95
,,,,,,,,,,,,,,,,인천,7.7,26.3,,61
,,,,,,,,,,,,,,,,인천,7.8,26,,82
,,,,,,,,,,,,,,,,인천,7.9,27.7,,71
,,,,,,,,,,,,,,,,인천,7.10,22.3,0.1,100
,,,,,,,,,,,,,,,,인천,7.11,22.8,,91
,,,,,,,,,,,,,,,,인천,7.12,26.4,,78
,,,,,,,,,,,,,,,,인천,7.13,26.6,,88
,,,,,,,,,,,,,,,,인천,7.14,24.6,,84
,,,,,,,,,,,,,,,,인천,7.15,19.9,1.7,100
,,,,,,,,,,,,,,,,인천,7.16,24.1,,85
,,,,,,,,,,,,,,,,인천,7.17,25.9,0,88
,,,,,,,,,,,,,,,,인천,7.18,27,0,97
,,,,,,,,,,,,,,,,인천,7.19,22.1,,100
,,,,,,,,,,,,,,,,인천,7.20,27.5,,83
,,,,,,,,,,,,,,,,인천,7.21,29.3,,77
,,,,,,,,,,,,,,,,인천,7.22,27.8,,87
,,,,,,,,,,,,,,,,인천,7.23,27.1,,90
,,,,,,,,,,,,,,,,인천,7.24,28.5,,88
,,,,,,,,,,,,,,,,인천,7.25,30,,71
,,,,,,,,,,,,,,,,인천,7.26,29.8,,68
,,,,,,,,,,,,,,,,인천,7.27,29,,80
,,,,,,,,,,,,,,,,인천,7.28,29.4,,84
,,,,,,,,,,,,,,,,인천,7.29,29.7,,82
,,,,,,,,,,,,,,,,인천,7.30,28.5,,88
,,,,,,,,,,,,,,,,인천,7.31,29.1,,77
,,,,,,,,,,,,,,,,인천,8.1,32.7,,68
,,,,,,,,,,,,,,,,인천,8.2,33.6,,59
,,,,,,,,,,,,,,,,인천,8.3,33.5,,63
,,,,,,,,,,,,,,,,인천,8.4,32.9,,67
,,,,,,,,,,,,,,,,인천,8.5,33.1,,63
,,,,,,,,,,,,,,,,인천,8.6,33.2,,64
,,,,,,,,,,,,,,,,인천,8.7,27.9,7.7,84
,,,,,,,,,,,,,,,,인천,8.8,31.2,,77
,,,,,,,,,,,,,,,,인천,8.9,29.1,,75
,,,,,,,,,,,,,,,,인천,8.10,26.7,,78
,,,,,,,,,,,,,,,,인천,8.11,29.2,,74
,,,,,,,,,,,,,,,,인천,8.12,25.2,7.5,100
,,,,,,,,,,,,,,,,인천,8.13,29.8,,77
,,,,,,,,,,,,,,,,인천,8.14,29.3,,73
,,,,,,,,,,,,,,,,인천,8.15,23.2,0,100
,,,,,,,,,,,,,,,,인천,8.16,26.6,,75
,,,,,,,,,,,,,,,,인천,8.17,28.8,,90
,,,,,,,,,,,,,,,,인천,8.18,27,,100
,,,,,,,,,,,,,,,,인천,8.19,27.4,,94
,,,,,,,,,,,,,,,,인천,8.20,24.9,0,100
,,,,,,,,,,,,,,,,인천,8.21,27.1,,91
,,,,,,,,,,,,,,,,인천,8.22,23.1,,81
,,,,,,,,,,,,,,,,인천,8.23,26,,76
,,,,,,,,,,,,,,,,인천,8.24,25.2,,82
,,,,,,,,,,,,,,,,인천,8.25,26.5,,92
