day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
4.10일,삼성 라이온즈,6,0,1,9,1,1,패
4.10일,롯데 자이언츠,11,1,2,6,1,0,승
4.10일,키움 히어로즈,8,0,0,10,0,0,승
4.10일,두산 베어스,10,0,0,4,0,0,패
4.10일,LG 트윈스,10,2,1,6,0,1,패
4.10일,SK 와이번스,9,2,0,5,1,1,승
4.12화,KIA 타이거즈,10,4,0,9,0,2,승
4.12화,SK 와이번스,7,2,3,11,0,0,패
4.12화,kt wiz,7,2,1,6,0,1,패
4.12화,키움 히어로즈,11,1,0,5,0,0,승
4.12화,롯데 자이언츠,16,1,0,10,0,0,패
4.12화,LG 트윈스,17,0,1,10,1,1,승
4.12화,NC 다이노스,10,3,0,4,0,2,패
4.12화,삼성 라이온즈,18,2,0,8,1,1,승
4.12화,두산 베어스,9,2,0,7,1,2,승
4.12화,한화 이글스,9,0,0,7,3,0,패
4.13수,KIA 타이거즈,6,0,0,10,2,0,패
4.13수,SK 와이번스,7,1,2,8,1,1,승
4.13수,kt wiz,13,1,2,11,0,2,승
4.13수,키움 히어로즈,13,1,4,10,0,0,패
4.13수,롯데 자이언츠,8,1,0,8,3,0,패
4.13수,LG 트윈스,9,1,1,11,0,1,승
4.13수,NC 다이노스,10,0,1,5,1,0,승
4.13수,삼성 라이온즈,5,0,1,6,1,0,패
4.13수,두산 베어스,15,1,0,6,0,0,승
4.13수,한화 이글스,15,0,1,12,1,2,패
4.14목,KIA 타이거즈,10,1,0,11,0,0,패
4.14목,SK 와이번스,14,0,1,8,1,0,승
4.14목,kt wiz,10,2,1,7,0,2,승
4.14목,키움 히어로즈,7,2,1,9,2,1,패
4.14목,롯데 자이언츠,15,1,0,8,0,1,승
4.14목,LG 트윈스,8,0,0,10,0,1,패
4.14목,NC 다이노스,8,2,2,16,1,2,패
4.14목,삼성 라이온즈,11,0,3,4,2,0,승
4.14목,두산 베어스,14,4,0,7,1,1,승
4.14목,한화 이글스,5,0,0,10,2,2,패
4.15금,LG 트윈스,19,4,2,7,2,1,승
4.15금,한화 이글스,9,0,0,4,4,3,패
4.15금,롯데 자이언츠,4,0,0,13,0,1,패
4.15금,NC 다이노스,9,0,2,10,1,1,승
4.15금,SK 와이번스,9,2,1,9,2,0,승
4.15금,kt wiz,7,0,0,8,1,2,패
4.15금,삼성 라이온즈,6,0,0,5,1,2,패
4.15금,두산 베어스,11,0,0,5,1,3,승
4.15금,키움 히어로즈,10,0,1,6,0,4,패
4.15금,KIA 타이거즈,13,1,3,4,2,1,승
4.17일,롯데 자이언츠,12,2,1,7,1,0,승
4.17일,NC 다이노스,13,1,0,5,2,1,패
4.17일,SK 와이번스,11,1,0,7,2,4,승
4.17일,kt wiz,9,0,1,8,1,1,패
