day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,지점명
9.13일,한화 이글스,12,2,0,5,1,0,승,부산
9.13일,롯데 자이언츠,10,0,0,6,2,1,패,부산
9.13일,kt wiz,7,2,0,7,1,0,패,서울
9.13일,두산 베어스,16,0,2,3,1,2,승,서울
9.13일,LG 트윈스,6,2,1,8,0,0,승,광주
9.13일,KIA 타이거즈,5,0,2,12,0,0,패,광주
9.13일,SK 와이번스,18,4,0,7,3,2,패,창원
9.13일,NC 다이노스,14,3,0,8,1,0,승,창원
9.13일,삼성 라이온즈,12,1,3,4,0,1,승,서울
9.13일,키움 히어로즈,10,1,3,7,0,0,패,서울
9.15화,한화 이글스,9,0,0,6,2,0,승,광주
9.15화,KIA 타이거즈,7,2,0,6,2,1,패,광주
9.15화,kt wiz,6,3,0,9,1,0,패,창원
9.15화,NC 다이노스,12,4,0,8,2,0,승,창원
9.15화,롯데 자이언츠,9,1,0,6,0,0,승,서울
9.15화,두산 베어스,6,0,0,8,1,2,패,서울
9.15화,SK 와이번스,10,0,1,9,1,0,승,대구
9.15화,삼성 라이온즈,11,1,0,9,0,1,패,대구
9.16수,한화 이글스,5,1,1,11,0,1,패,광주
9.16수,KIA 타이거즈,3,0,2,4,2,0,승,광주
9.16수,LG 트윈스,10,0,0,6,1,1,승,서울
9.16수,키움 히어로즈,7,0,0,8,2,0,패,서울
9.16수,롯데 자이언츠,17,1,1,6,1,1,승,서울
9.16수,두산 베어스,11,1,3,10,0,0,패,서울
9.16수,SK 와이번스,8,3,0,8,0,3,승,대구
9.16수,삼성 라이온즈,8,2,3,7,1,2,패,대구
9.17목,kt wiz,10,0,2,11,0,1,승,광주
9.17목,KIA 타이거즈,7,1,1,11,1,0,패,광주
9.17목,롯데 자이언츠,6,0,0,7,0,0,패,서울
9.17목,두산 베어스,15,1,0,6,1,1,승,서울
9.17목,NC 다이노스,10,1,3,4,1,0,승,대전
9.17목,한화 이글스,10,1,0,8,1,1,패,대전
9.17목,SK 와이번스,10,2,1,8,0,1,패,대구
9.17목,삼성 라이온즈,17,2,0,1,1,0,승,대구
9.18금,NC 다이노스,20,4,0,9,3,0,승,대전
9.18금,한화 이글스,5,2,0,10,0,0,패,대전
9.18금,두산 베어스,9,2,0,4,1,0,패,대구
9.18금,삼성 라이온즈,15,2,2,5,1,1,승,대구
9.18금,SK 와이번스,6,2,1,11,0,0,승,부산
9.18금,롯데 자이언츠,3,0,1,8,1,0,패,부산
9.19토,KIA 타이거즈,8,0,0,10,1,2,패,인천
9.19토,SK 와이번스,13,1,2,9,1,1,승,인천
9.19토,두산 베어스,10,3,2,4,1,2,패,대전
9.19토,한화 이글스,15,2,0,2,1,0,승,대전
9.19토,키움 히어로즈,10,0,1,11,0,0,승,서울
9.19토,LG 트윈스,11,0,1,6,0,1,패,서울
9.20일,KIA 타이거즈,5,0,1,8,2,0,패,인천
9.20일,SK 와이번스,10,1,3,4,2,1,승,인천
9.20일,kt wiz,11,0,1,3,2,1,패,서울
9.20일,LG 트윈스,11,1,2,4,1,0,승,서울
9.20일,두산 베어스,18,3,0,2,2,0,승,대전
9.20일,한화 이글스,13,0,0,12,1,0,패,대전
9.20일,삼성 라이온즈,17,4,0,7,0,0,승,부산
9.20일,롯데 자이언츠,20,3,0,9,1,2,패,부산
9.20일,키움 히어로즈,5,1,0,5,1,0,패,창원
9.20일,NC 다이노스,18,3,0,4,2,1,승,창원
9.21월,KIA 타이거즈,10,3,1,12,0,0,승,인천
9.21월,SK 와이번스,4,0,0,9,1,1,패,인천
9.21월,kt wiz,9,0,1,6,2,0,승,서울
9.21월,LG 트윈스,7,0,1,10,0,2,패,서울
9.21월,키움 히어로즈,13,1,2,9,0,0,승,창원
9.21월,NC 다이노스,6,1,1,6,0,0,패,창원
9.22화,LG 트윈스,17,4,1,5,1,1,승,광주
9.22화,KIA 타이거즈,9,0,0,5,2,2,패,광주
9.22화,NC 다이노스,4,0,0,18,0,0,패,대구
9.22화,삼성 라이온즈,6,1,0,12,0,0,승,대구
9.22화,두산 베어스,9,1,0,10,2,0,승,부산
9.22화,롯데 자이언츠,9,3,1,9,1,1,패,부산
9.23수,SK 와이번스,7,0,0,6,2,0,패,서울
9.23수,키움 히어로즈,13,1,1,5,1,0,승,서울
9.23수,삼성 라이온즈,13,0,2,9,1,0,승,수원
9.23수,kt wiz,1,0,0,10,0,4,패,수원
9.24목,두산 베어스,6,0,0,9,1,1,승,부산
9.24목,롯데 자이언츠,7,1,0,7,0,0,패,부산
9.24목,KIA 타이거즈,11,2,1,8,1,1,패,창원
9.24목,NC 다이노스,14,5,0,13,0,0,승,창원
9.24목,SK 와이번스,16,1,1,6,3,1,승,서울
9.24목,키움 히어로즈,9,1,0,8,0,3,패,서울
9.24목,삼성 라이온즈,12,1,1,5,1,0,승,수원
9.24목,kt wiz,6,0,5,8,1,1,패,수원
9.24목,두산 베어스,10,3,1,5,1,1,승,부산
9.24목,롯데 자이언츠,13,1,1,5,0,2,패,부산
9.25금,kt wiz,14,1,0,5,4,1,승,서울
9.25금,두산 베어스,9,1,0,8,1,0,패,서울
9.25금,LG 트윈스,11,2,1,10,0,1,승,창원
9.25금,NC 다이노스,8,2,2,12,1,2,패,창원
